"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","wrong_strategy_loss"
"strategy-gauntlet","medium","reasoning","singles-gauntlet","128x40 (bounds 100x36)","wide","move_units, attack_unit, attack_move, stop","Tank column strike force","Same defended corridor + screening picket + rear yard+refinery","static garrison + forward picket (stance:2)","","Commander, this is a defended-corridor raze with a tighter loss cap. You are given a tank-column strike force at the west. The corridor leads east to the enemy base ring (Construction Yard + Ore Refinery), with a forward picket screening it. Raze yard and refinery within about 89 turns, no more than 9 total losses.","Raze yard AND refinery, ≤9 losses, within 8000 ticks.","More than 9 lost, no own units alive, or deadline (8001 ticks).","90","8103","Sloppy attrition through the picket exceeds 9 losses; ignoring the picket leaves it kiting the column on the way out."
"strategy-gauntlet","hard","reasoning","singles-gauntlet","128x40 (bounds 100x36)","wide","move_units, attack_unit, attack_move, stop","Tank column strike force","Same corridor + picket + yard+refinery","static garrison + forward picket (stance:2)","","Commander, this is a defended-corridor raze with the same attrition cap as medium but a tight clock. You are given a tank-column strike force at the west. The corridor leads east to the enemy base ring (Construction Yard + Ore Refinery), with a forward picket screening it. Raze yard and refinery within about 50 turns, no more than 9 losses.","Raze yard AND refinery, ≤9 losses, within 4500 ticks.","More than 9 lost, no own units alive, or deadline (4501 ticks).","55","5043","A leisurely clear of every picket blows the 4500 clock; an unscreened all-in blows the 9-loss cap."
"strategy-trilemma","easy","reasoning","rush-hour-arena","128x40","wide","observe, build, place_building, harvest, move_units, attack_unit, stop","Full Allied base + scout; cash 3000","Hunt-bot harasser band (rifles+light armour) pressures the base","hunt (a harassing band tests survival)","LEAK: arm names ""EXPAND/TECH/ARMY"" spelled out as verbs — the briefing names the three winning policies directly.","Commander, this is a forced-choice CAPEX drill. You hold a full Allied base with a scout; cash $3000. A hunt-bot harasser band probes from the centre. Three winning options are open — build a 2nd Ore Refinery in the target zone near (60,20), OR build a War Factory, OR train ≥12 rifle infantry AND score at least one kill. Cash funds any one path with slack but cannot complete two. Win within about 60 turns.","ANY of: 2nd refinery at (60,20) ($1400) OR build War Factory ($2000) OR 12 rifles + 1 kill ($1200) — within 5400 ticks.","No arm complete, or deadline (5401 ticks).","60","5403","Hedging (a little of each) leaves no arm complete and all three clauses unsatisfied."
"strategy-trilemma","medium","reasoning","rush-hour-arena","128x40","wide","observe, build, place_building, harvest, move_units, attack_unit, stop","Full Allied base + scout; cash 2400","Hunt-bot harasser band","hunt (a harassing band tests survival)","LEAK: arm names ""EXPAND/TECH/ARMY"" spelled out as verbs — the briefing names the three winning policies directly.","Commander, this is a forced-choice CAPEX drill with a tighter budget. You hold a full Allied base with a scout; cash $2400 — enough for precisely one complete path. The three options: 2nd Ore Refinery near (60,20), War Factory, or 12 rifles + 1 kill. Hunt-bot harassers pressure the base. Win within about 50 turns.","ANY of: refinery@(60,20) OR War Factory OR 12 rifles + 1 kill — within 4500 ticks.","No arm complete, or deadline (4501 ticks).","50","4503","Hedging leaves all arms shy; the tight $2400 budget will not stretch to two partial buys before the clock."
"strategy-trilemma","hard","reasoning","rush-hour-arena","128x40","wide","observe, build, place_building, harvest, move_units, attack_unit, stop","Full Allied base + scout — spawn-rotated; cash 2200","Hunt-bot harasser doubled pressure","hunt (a harassing band tests survival)","LEAK: arm names ""EXPAND/TECH/ARMY"" spelled out as verbs — the briefing names the three winning policies directly.","Commander, this is a forced-choice CAPEX drill with the harasser doubled and a near-exact budget. You hold a full Allied base with a scout; cash $2200. A doubled hunt-bot harasser pressures the base. Three options: place Ore Refinery in the target zone, train 12 rifles + 1 kill, or hold the War Factory online. Lose at most 3 units. Win within about 40 turns.","ANY of: refinery in target zone OR War Factory online OR 12 rifles + 1 kill, ≤3 losses, within 3600 ticks.","More than 3 lost, no arm complete, or deadline (3601 ticks).","40","3603","Any hedge leaves no arm complete inside $2200; the doubled harasser eats slack from any non-committed split."
"strategy-twobody","easy","action","singles-twobody","128x40 (bounds 100x24)","wide-justified","move_units, attack_unit, attack_move, stop","TWO tank/infantry squads — one each on the WEST edge near (6,*) and EAST edge near (94,*) — set against the two opposing bases","TWO enemy bases — WEST near (24,20) and EAST near (78,20) — each with Construction Yard + Ore Refinery + small tank garrison; lethal turret wall at map centre","static (each base ring stance:2; map centre is lethal turret wall)","","Commander, this is a two-body raze. You command two squads starting on OPPOSITE edges of the arena. Two enemy bases stand — one at the west near (24,20), one at the east near (78,20) — each holding a Construction Yard plus Ore Refinery and a small tank garrison. The map centre is a lethal turret wall — a single squad cannot cross it in time to reach the far base. Raze the Construction Yard AND Ore Refinery at BOTH bases within about 95 turns.","Raze yard+refinery at BOTH WEST (24,20) and EAST (78,20) bases, within 8500 ticks.","Either base unrazed, or deadline (8501 ticks).","100","9003","A single-squad attempt cannot reach the far base inside 8500 ticks; serialising (raze one then march to the other) blows the clock."
"strategy-twobody","medium","action","singles-twobody","128x40 (bounds 100x24)","wide-justified","move_units, attack_unit, attack_move, stop","TWO squads opposing edges, loss cap","Same two bases + turret wall","static (each base ring stance:2; map centre is lethal turret wall)","","Commander, this is a two-body raze under a loss cap. You command two squads starting on opposite edges. Two enemy bases stand — WEST near (24,20) and EAST near (78,20), each with Construction Yard + Ore Refinery + garrison. The map centre is a lethal turret wall. Raze yard+refinery at BOTH bases within about 72 turns, no more than 10 total losses.","Raze yard+refinery at BOTH bases, ≤10 losses, within 6500 ticks.","More than 10 lost, either base unrazed, or deadline (6501 ticks).","90","8103","Sloppy combat by either squad blows 10-loss cap; serialised attacks blow the 6500 clock."
"strategy-twobody","hard","action","singles-twobody","128x40 (bounds 100x24)","wide-justified","move_units, attack_unit, attack_move, stop","TWO squads opposing edges, strict cap + tight clock","Same two bases + turret wall","static (each base ring stance:2; map centre is lethal turret wall)","","Commander, this is a two-body raze on the tightest clock. You command two squads on opposing edges. Two enemy bases — WEST (24,20) and EAST (78,20) — each with yard+refinery+garrison. The centre is a lethal turret wall. Raze yard+refinery at BOTH bases within about 56 turns under strict attrition.","Raze yard+refinery at BOTH bases, within 5000 ticks (strict attrition implied by clock).","Either base unrazed, or deadline (5001 ticks).","80","7203","Any serialised attempt or a single-squad-style approach blows both the clock and the attrition cap."
"adv-asymmetric-weaker-must-win","easy","reasoning","adv-asymmetric-weaker-must-win-arena","128x40","wide","move_units, attack_unit, attack_move, stop","2× medium tank @(8,20-22) on ReturnFire + Construction Yard @(4,20)","2× rifle infantry @(78-80,20) — no heavy tank on easy","guard (enemy garrison holds post, lunges within ~16 cells, returns past leash ~18)","","Commander, this is an underdog engagement on the centre-east lane. You are given 2 medium tanks on the y=20 lane and your Construction Yard behind. The enemy is 2 rifle infantry at the east-centre cluster — no heavy backup on this tier. Kill both riflemen and keep at least 1 medium tank alive AND your Construction Yard standing, within about 60 turns.","≥2 kills AND ≥1 own unit alive AND Construction Yard standing, within 5400 ticks.","Construction Yard destroyed, no own units alive, or deadline (5401 ticks).","61","5493","Stalling on observe never kills; the head-on route works on easy because no heavy is present, but a careless drive into the cluster can still lose the survivor floor."
"adv-asymmetric-weaker-must-win","medium","reasoning","adv-asymmetric-weaker-must-win-arena","128x40","wide","move_units, attack_unit, attack_move, stop","2× medium tank @(8,10)/(8,12) staged OFF-AXIS on the north corridor + Construction Yard @(4,20)","4× rifle infantry wall @(74-76,18-22) + 1× heavy tank behind the wall (out-trades a medium tank one-on-one)","guard (enemy garrison holds post, lunges within ~16 cells, returns past leash ~18)","","Commander, this is an underdog engagement against a defended cluster. You are given 2 medium tanks staged on the north corridor (off the centre lane) and your Construction Yard at (4,20). The enemy is 4 rifle infantry walling the centre-east cluster, with 1 heavy tank holding post behind them — the heavy out-trades a medium tank head-on. Kill all 4 riflemen and keep at least 1 medium tank alive AND your Construction Yard standing, within about 60 turns.","≥4 kills AND ≥1 own unit alive AND Construction Yard standing, within 5400 ticks.","Construction Yard destroyed, no own units alive, or deadline (5401 ticks).","61","5493","A y=20 head-on charge into the cluster gets traded down by the heavy; ignoring the rifles to chase the heavy leaves the cluster walling itself."
"adv-asymmetric-weaker-must-win","hard","reasoning","adv-asymmetric-weaker-must-win-arena","128x40","wide","move_units, attack_unit, attack_move, stop","2× medium tank spawn-rotated NORTH (y=11-13) or SOUTH (y=27-29) by seed + Construction Yard @(4,20)","Same 4× rifle wall + 1× heavy tank cluster","guard (enemy garrison holds post, lunges within ~16 cells, returns past leash ~18)","","Commander, this is an underdog engagement from a seed-rotated corridor on a tight clock. You are given 2 medium tanks staged in either the north corridor (y≈12) or south corridor (y≈28) by seed, plus your Construction Yard at (4,20). The enemy is 4 rifle infantry walling the east-centre cluster with 1 heavy tank behind them — the heavy out-trades a medium tank head-on. Kill 4 riflemen and keep at least 1 medium tank alive AND your Construction Yard standing, within about 50 turns.","≥4 kills AND ≥1 own unit alive AND Construction Yard standing, within 4500 ticks.","Construction Yard destroyed, no own units alive, or deadline (4501 ticks).","51","4593","Head-on charges from either corridor get out-traded by the heavy; a memorised approach from one corridor mis-aligns against the other seed."
"adv-rps-counter-pick","easy","reasoning","adv-rps-counter-pick-arena","128x40","wide","build, place_building, move_units, attack_unit, attack_move, stop","Full Allied base @(10-16,18-24): fact+proc+powr+tent+weap+fix + 2× jeep @(16,20-22); cash 2550","8× rifle infantry swarm at centre — fixed archetype, visible on easy","guard (enemy garrison holds, lunges within ~16, returns past ~18)","","Commander, this is a counter-pick drill. You hold a full Allied base — Construction Yard, Ore Refinery, Power Plant, Allied Barracks, War Factory, Service Depot — with 2 jeeps and cash $2550. The enemy is a rifle-infantry swarm at centre-east (8 strong). Pick the matching counter from the production menus and kill at least 6 enemy units within about 60 turns, Construction Yard standing.","≥6 kills AND Construction Yard standing, within 5400 ticks.","Construction Yard destroyed, or deadline (5401 ticks).","61","5493","A hedged build (a little of every counter) leaves no counter at the required head-count; stalling lets the swarm chip the yard."
"adv-rps-counter-pick","medium","reasoning","adv-rps-counter-pick-arena","128x40","wide","build, place_building, move_units, attack_unit, attack_move, stop","Full Allied base + 2× jeep scout; cash 2550","Centre garrison in fog — archetype unknown until scouted","guard (enemy garrison holds, lunges within ~16, returns past ~18)","","Commander, this is a counter-pick drill under fog. You hold a full Allied base with 2 jeeps and cash $2550. The enemy is a centre-east garrison hidden in fog — the archetype is not given. Scout with a jeep first to read the composition, then commit the budget to the matching counter. Kill at least 8 enemy units within about 60 turns, Construction Yard standing.","≥8 kills AND Construction Yard standing, within 5400 ticks.","Construction Yard destroyed, or deadline (5401 ticks).","61","5493","Pre-picking the counter before scouting wins only half the time on average; hedging splits the cash across counters none of which complete."
"adv-rps-counter-pick","hard","reasoning","adv-rps-counter-pick-arena","128x40","wide","build, place_building, move_units, attack_unit, attack_move, stop","Full Allied base (no spawn_point — identical every seed); cash 2550","ENEMY spawn_point rotation — archetype flips per seed (rifle swarm, heavy tanks, or rocket soldiers); persistent sentinel anchored per group","guard (enemy garrison holds, lunges within ~16, returns past ~18)","","Commander, this is a counter-pick drill with the enemy archetype rotating per seed. You hold a full Allied base with cash $2550. The centre-east enemy is one of three archetypes — rifle swarm, heavy tanks, or rocket soldiers — and which one CHANGES per seed. Scout the centre first, then commit the budget to the matching counter. Kill at least 5 enemy units within about 60 turns, Construction Yard standing.","≥5 kills AND Construction Yard standing, within 5400 ticks.","Construction Yard destroyed, or deadline (5401 ticks).","61","5493","A memorised ""always build counter X"" plan loses on seeds where the archetype rotates against it; hedging across counters completes none."
"adversarial-duel","easy","adversarial","adversarial-duel-arena","64x40","fit","move_units, attack_unit, stop","2× medium tank + 2× light tank (count:2 each) @(6,19-22) on HoldFire","3× rifle infantry close east","static (enemy stance:2; no bot)","Capability tag adversarial but opponent is scripted; the engine `step_1v1` channel is the true adversarial wiring — consider tagging ""action"" until 1v1 wiring lands.","Commander, this is a close-engagement duel. You are given 2 medium tanks and 2 light tanks at the west on hold-fire orders. Three enemy rifle infantry sit a short move east. Destroy all 3 enemies within about 30 turns and keep at least one of your own alive.","≥3 kills, within 2400 ticks.","No own units alive, or deadline (2401 ticks).","30","2703","Stalling on observe yields no kills; head-on works on easy because the enemy has no armour."
"adversarial-duel","medium","adversarial","adversarial-duel-arena","64x40","fit","move_units, attack_unit, stop","2× medium tank + 1× light tank + 1× jeep (composition per pack)","Enemy rifle squad + 1× light tank backing","static (enemy stance:2; no bot)","Capability tag adversarial but opponent is scripted; the engine `step_1v1` channel is the true adversarial wiring — consider tagging ""action"" until 1v1 wiring lands.","Commander, this is a close-engagement duel with light enemy armour. You are given a mixed tank group at the west. The enemy is a rifle squad backed by 1 light tank. Concentrate fire to win the trade; destroy enough enemies within about 40 turns to satisfy the kill bar with at least one own unit alive.","≥(per pack kill bar) AND own units alive, within 3000 ticks.","No own units alive, or deadline (3001 ticks).","40","3603","Splitting fire across rifles and armour trades the own column down without finishing the kill bar."
"adversarial-duel","hard","adversarial","adversarial-duel-arena","64x40","fit","move_units, attack_unit, stop","Mixed tank group spawn-rotated NORTH (sp0) or SOUTH (sp1) by seed","Outnumbering enemy + loss cap","static (enemy stance:2; no bot)","Capability tag adversarial but opponent is scripted; the engine `step_1v1` channel is the true adversarial wiring — consider tagging ""action"" until 1v1 wiring lands.","Commander, this is an outnumbered close engagement with a loss cap. You are given a mixed tank group on a seed-chosen corner. The enemy is numerically superior. Win the close fight inside the loss cap, within about 45 turns.","Per-pack kill bar AND loss cap satisfied, within 4000 ticks.","Loss cap exceeded, no own units alive, or deadline (4001 ticks).","50","4503","Attrition trades lose the cap; a memorised approach from one corner mis-aligns against the other seed."
"artofwar-indirect-approach","easy","reasoning","artofwar-indirect-approach-arena","128x40","wide","move_units, attack_unit, stop","3× light tank @(6,20) on ReturnFire","Rocket-infantry wall blocking the direct east lane at mid-band; objective region near (112,20)","static (rocket-infantry wall stance:2; lethal in the lane)","","Commander, this is a transit task across contested ground. You are given 3 light tanks at the west on ReturnFire. A rocket-infantry wall blocks the direct east lane at the mid-band — anything crossing the wall head-on dies to its volley. The objective is a region near (112,20). Land at least 3 tanks inside radius-6 of (112,20) within about 59 turns, losing at most 1 unit.","≥3 tanks within radius-6 of (112,20), ≤1 loss, within 4000 ticks.","More than 1 lost, or deadline (4001 ticks).","60","5403","Crossing the wall head-on is fatal — the loss cap goes immediately; stalling busts the clock."
"artofwar-indirect-approach","medium","reasoning","artofwar-indirect-approach-arena","128x40","wide","move_units, attack_unit, stop","3× light tank @(6,20) on ReturnFire","Longer rocket-infantry wall (7+ e3 @x=26-50)","static (rocket-infantry wall stance:2; lethal in the lane)","","Commander, this is a transit task across a longer contested wall. You are given 3 light tanks at the west on ReturnFire. A long rocket-infantry wall blocks the direct east lane. The objective is a region near (112,20). Land at least 3 tanks inside radius-6 of (112,20) within about 65 turns, ZERO losses.","≥3 tanks within radius-6 of (112,20), 0 losses, within 4600 ticks.","Any loss, or deadline (4601 ticks).","66","5943","Any unit crossing the wall axis takes a rocket and busts the 0-loss cap; a stall misses the 4600 clock."
"artofwar-indirect-approach","hard","reasoning","artofwar-indirect-approach-arena","128x40","wide","move_units, attack_unit, stop","3× light tank spawn-rotated NORTH (y=10±2) or SOUTH (y=*) by seed","Densest rocket-infantry wall","static (rocket-infantry wall stance:2; lethal in the lane)","","Commander, this is a transit task across the densest wall, staged from a seed-chosen latitude. You are given 3 light tanks at the west, staged in either a north band or south band by seed. A densely-packed rocket-infantry wall spans the mid-band. The objective is a region near (112,20). Land all 3 tanks inside radius-6 of (112,20) within about 69 turns, ZERO losses.","≥3 tanks within radius-6 of (112,20), 0 losses, within 5000 ticks.","Any loss, or deadline (5001 ticks).","70","6303","Any tank on the lane axis dies; a memorised route works on one latitude but not the other seed."
"artofwar-lure-the-tiger","easy","reasoning","artofwar-lure-the-tiger-arena","128x40","wide","move_units, attack_unit, stop","3× medium tank + 2× jeep at west","Leashed rocket-infantry wall — each guard lunges then snaps back; objective near (112,20)","guard (rocket-infantry defenders hold post, lunge at any enemy within ~16, snap back past ~18)","","Commander, this is a transit task past leashed defenders. You are given 3 medium tanks and 2 jeeps at the west. A leashed rocket-infantry wall covers the lane — each defender holds its post but LUNGES at any enemy within about 16 cells, then SNAPS BACK past about 18. The objective is a region near (112,20). Land at least 3 tanks inside radius-6 of (112,20) within about 65 turns, losing at most 2 units.","≥3 tanks within radius-6 of (112,20), ≤2 losses, within 5800 ticks.","More than 2 lost, or deadline (5801 ticks).","66","5943","Driving the whole force through the leash band loses past the 2-cap; ignoring the leash mechanic (treating them as stationary) gets the lead tank lunged and shredded."
"artofwar-lure-the-tiger","medium","reasoning","artofwar-lure-the-tiger-arena","128x40","wide","move_units, attack_unit, stop","3× medium tank + 2× jeep at west","Denser leashed rocket-infantry wall (7+ e3 spaced along y=6-26)","guard (rocket-infantry defenders hold post, lunge at any enemy within ~16, snap back past ~18)","","Commander, this is a transit task past a denser leashed wall. You are given 3 medium tanks and 2 jeeps at the west. The rocket-infantry wall is denser — multiple guards across the lane each lunge within about 16 cells and snap back past about 18. The objective is a region near (112,20). Land at least 3 tanks inside radius-6 of (112,20) within about 75 turns, losing at most 2 units.","≥3 tanks within radius-6 of (112,20), ≤2 losses, within 6600 ticks.","More than 2 lost, or deadline (6601 ticks).","76","6843","Pushing the column straight through the denser wall busts the 2-loss cap; stalling busts the 6600 clock."
"artofwar-lure-the-tiger","hard","reasoning","artofwar-lure-the-tiger-arena","128x40","wide","move_units, attack_unit, stop","3× medium tank + 2× jeep spawn-rotated NORTH (y≈10) or SOUTH (y≈30) by seed","Densest leashed guard wall","guard (rocket-infantry defenders hold post, lunge at any enemy within ~16, snap back past ~18)","","Commander, this is a transit task past the densest leashed wall, staged from a seed-chosen latitude. You are given 3 medium tanks and 2 jeeps at the west in either a north band (y≈10) or south band (y≈30). The leashed rocket-infantry wall is at its densest. The objective is a region near (112,20). Land at least 3 tanks inside radius-6 of (112,20) within about 82 turns, ≤2 losses.","≥3 tanks within radius-6 of (112,20), ≤2 losses, within 7400 ticks.","More than 2 lost, or deadline (7401 ticks).","84","7563","A memorised route fails on the other spawn latitude; ignoring the leash gets the lead tank attacked off post."
"artofwar-sequenced-citadel","easy","reasoning","artofwar-sequenced-citadel-arena","128x40","wide","move_units, attack_unit, stop","3× medium tank at west","Light pickets contesting the chain route + citadel at (110,20)","static (light pickets stance:2; no roaming)","","Commander, this is an ordered waypoint task with a terminal timed window. You are given 3 medium tanks at the west. Three waypoints, in order: A (mid-west, around (35,20)), B (north-centre, around (70,12)), and the citadel C at (110,20). C only counts after about turn 13 (tick 1100) and before about turn 26 (tick 2300). Light pickets contest the route. Visit A → B → C in order inside the timed window.","Waypoints A → B → C visited in order, C latches after tick 1100 and within 2300 ticks.","Wrong order, C reached too early or too late, or deadline (2301 ticks).","30","2703","Rushing C before tick 1100 leaves the prerequisite window unlatched; visiting B before A breaks the order."
"artofwar-sequenced-citadel","medium","reasoning","artofwar-sequenced-citadel-arena","128x40","wide","move_units, attack_unit, stop","3× medium tank at west","Light pickets + tighter terminal window","static (light pickets stance:2; no roaming)","","Commander, this is the same ordered waypoint task with a longer prerequisite hold and a tighter terminal window. You are given 3 medium tanks at the west. Visit A → B → C in order; C only counts after about turn 15 (tick 1300) and before tick 2300. Light pickets contest the route.","A → B → C in order, C latches after tick 1300 and within 2300 ticks.","Wrong order, C too early or too late, or deadline (2301 ticks).","30","2703","Pre-1300 arrival at C fails the gate; the narrower 1300-2300 strike band leaves no margin for a slow B leg."
"artofwar-sequenced-citadel","hard","reasoning","artofwar-sequenced-citadel-arena","128x40","wide","move_units, attack_unit, stop","3× medium tank spawn-rotated NORTH (y=12) or SOUTH (y=30) by seed","Pickets at multiple points + 4-point chain + citadel @(110,20)","static (light pickets stance:2; no roaming)","","Commander, this is a four-point ordered chain from a seed-chosen latitude with a loss cap. You are given 3 medium tanks at the west, staged in either a north (y≈12) or south (y≈30) band by seed. Visit four ordered waypoints culminating in the citadel at (110,20); C only counts after about turn 16 (tick 1400) and before tick 2300. Light pickets at multiple points contest the route. Seize the citadel with the force near-intact inside the band.","Four-point chain visited in order, terminal latches after tick 1400 within 2300 ticks, loss cap (per pack) satisfied.","Wrong order, terminal too early or too late, loss cap exceeded, or deadline (2301 ticks).","32","2883","Pre-1400 terminal arrival fails the gate; a memorised route mis-aligns to the other latitude."
"risk-blockade-bypass","easy","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","Tank/jeep strike force at west on AttackAnything","Heavy central garrison around (46-57, 20-22) that out-trades head-on; lighter picket on the north detour around (55,5); objective near (110,20)","static (heavy central garrison stance:2; lighter pickets on detour)","LEAK: ""Pick the survivable route"" / ""the northern detour past a light picket costs ~600 extra ticks"" — names the detour by direction and quantifies the trade.","Commander, this is a contested-transit task with a heavy central garrison. You are given a tank-and-jeep strike force at the west on AttackAnything stance. A heavy garrison sits across the centre at (46-57, 20-22) that out-trades you head-on. The objective is a region near (110,20). A lighter picket sits on a longer northern detour around (55,5). Reach the objective within about 39 turns, losing no more than 4 units.","Reach region radius-6 of (110,20), ≤4 losses, within 3500 ticks.","More than 4 lost, or deadline (3501 ticks).","40","3603","Pushing or even probing the central garrison bleeds past the 4-loss cap before arrival; stalling busts the clock."
"risk-blockade-bypass","medium","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","Tank/jeep strike force at west","Same heavy garrison + lighter north picket","static (heavy central garrison stance:2; lighter pickets on detour)","LEAK: ""Pick the survivable route"" / ""the northern detour past a light picket costs ~600 extra ticks"" — names the detour by direction and quantifies the trade.","Commander, this is a contested-transit task with a brutal loss cap. You are given a tank-and-jeep strike force at the west. The heavy central garrison out-trades you head-on. The lighter picket sits on a longer northern detour. The objective is near (110,20). Reach it within about 32 turns, losing no more than 2 units.","Reach region radius-6 of (110,20), ≤2 losses, within 2800 ticks.","More than 2 lost, or deadline (2801 ticks).","32","2883","The corridor route guarantees you blow the 2-loss cap; dithering near the corridor before bouncing burns ticks."
"risk-blockade-bypass","hard","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","2× medium tank + 2× light tank + 2× jeep on AttackAnything at west","Lighter central garrison (4× e3 + 1× gun + 5× e1) + obstacles on both flanks","static (heavy central garrison stance:2; lighter pickets on detour)","LEAK: ""Pick the survivable route"" / ""the northern detour past a light picket costs ~600 extra ticks"" — names the detour by direction and quantifies the trade.","Commander, this is a contested-transit task with the brutal cap. You are given 2 medium tanks, 2 light tanks and 2 jeeps at the west on AttackAnything. The central garrison is lighter (4 rocket soldiers, 1 gun turret, 5 riflemen) but both flanks are contested. The objective is region radius-6 of (110,20). Reach it within about 27 turns, losing no more than 1 unit.","Reach region radius-6 of (110,20), ≤1 loss, within 2400 ticks.","More than 1 lost, or deadline (2401 ticks).","28","2523","Any clumsy route trades enough for the 1-loss cap; the wrong detour blocks the clock."
"reasoning-frontier-commit","easy","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, stop_units","1× jeep @(6,6)","2× passive decoy unit cluster in SE + a survivor-marker building in NE corner","passive decoys (stance:0); one hostile cluster on hard","LEAK: ""Drive straight to the NE corner — detouring through SE overruns the clock"" / ""The real building is in the NE."" — directly names the answer corner.","Commander, this is a fast frontier-commit task. You are given 1 jeep at the north-west. Two candidate regions and one decoy: a passive enemy unit cluster sits in the south-east; the real survivor marker is a building in the far-NE corner. Only the NE building counts toward the win. Find and visit the survivor within about 11 turns.","Reach the NE survivor building within 950 ticks.","Not reached by deadline (951 ticks).","14","1263","Sweeping both candidates or detouring through SE overruns the 950 clock; the decoy region does NOT satisfy the building-based win."
"reasoning-frontier-commit","medium","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, stop_units","1× jeep @(6,6)","2× decoy passive clusters (SE corner + mid-south edge) + survivor-marker building in NE","passive decoys (stance:0); one hostile cluster on hard","LEAK: ""Drive straight to the NE corner — detouring through SE overruns the clock"" / ""The real building is in the NE."" — directly names the answer corner.","Commander, this is a fast frontier-commit task with multiple decoys. You are given 1 jeep at the north-west. Three candidate regions, two decoys: passive enemy clusters in the far-SE and on the mid-south edge; the real survivor marker is a building in the far-NE corner. The clock permits exactly one decisive trip. Within about 10 turns.","Reach the NE survivor building within 880 ticks.","Not reached by deadline (881 ticks).","14","1263","Any multi-candidate sweep busts the 880 clock; the decoy regions do not satisfy the win."
"reasoning-frontier-commit","hard","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, stop_units","1× jeep spawn-rotated NW (6,6) or SW (6,33) by seed","2× decoy clusters (one hostile in SE), survivor-marker building in seed-NE","passive decoys (stance:0); one hostile cluster on hard","LEAK: ""Drive straight to the NE corner — detouring through SE overruns the clock"" / ""The real building is in the NE."" — directly names the answer corner.","Commander, this is a fast frontier-commit task with a hostile decoy and ZERO losses allowed. You are given 1 jeep at a seed-chosen corner (NW or SW). The SE decoy is a HOSTILE rocket-soldier cluster — careless routing kills the scout. The real survivor marker is a building in the NE. The clock permits exactly one decisive trip and any loss fails the win. Within about 12 turns.","Reach the NE survivor building, 0 losses, within 1050 ticks.","Any loss, not reached by deadline (1051 ticks).","15","1353","Routing through the hostile SE decoy kills the scout; sweeping every candidate busts the 1050 clock; a memorised path mis-aligns from the other corner spawn."
"reasoning-risk-route","easy","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","1× jeep at west on the y=20 lane","Rocket-infantry wall blocking the direct east lane in the mid-band; objective at (120,20)","guard (rocket-infantry wall holds post)","LEAK: ""Take the long way — climb to y≤3 or drop to y≥37 to slip around the wall."" — names the answer seams by coordinate band.","Commander, this is a contested-route transit with a zero-loss cap. You are given 1 jeep at the west. A rocket-infantry wall blocks the direct east lane in the mid-band — anything on the lane axis dies in its volley. The objective is region radius-7 of (120,20). Reach it with ZERO losses within about 30 turns.","Reach region radius-7 of (120,20), 0 losses, within 2700 ticks.","Any loss, or deadline (2701 ticks).","32","2883","The direct lane kills the jeep; a stall busts the clock."
"reasoning-risk-route","medium","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","1× jeep at west","Central wall + bottom edge guarded","guard (rocket-infantry wall holds post)","LEAK: ""Take the long way — climb to y≤3 or drop to y≥37 to slip around the wall."" — names the answer seams by coordinate band.","Commander, this is a contested-route transit with both edges contested. You are given 1 jeep at the west. The direct east lane is lethal, AND the bottom edge is now also guarded. The objective is at (120,20). Reach it with zero losses within about 35 turns.","Reach (120,20) radius-7, 0 losses, within 3100 ticks.","Any loss, or deadline (3101 ticks).","36","3243","The short lane kills, the bottom detour kills, dithering busts the 3100 clock."
"reasoning-risk-route","hard","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","1× jeep at west","Central wall + bottom edge blocked + defended pocket on top edge near x=100","guard (rocket-infantry wall holds post)","LEAK: ""Take the long way — climb to y≤3 or drop to y≥37 to slip around the wall."" — names the answer seams by coordinate band.","Commander, this is a contested-route transit with all three primary corridors contested. You are given 1 jeep at the west. The bottom edge is fully blocked, the top has a defended pocket near x=100, and the centre wall is lethal. The objective is region radius-7 of (122,20). Reach it with zero losses within about 37 turns.","Reach (122,20) radius-7, 0 losses, within 3300 ticks.","Any loss, or deadline (3301 ticks).","40","3603","Any single-edge approach hits a guard band; threading the safe seam is the only path that fits the clock."
