pack,family,interrupt_mode,easy_max_turns,easy_reachable_max_tick,easy_within_ticks,easy_after_ticks,easy_effective_deadline,easy_deadline_slack,easy_agent_count,easy_agent_value,easy_enemy_count,easy_enemy_value,easy_force_ratio,easy_starting_cash,easy_kill_quota,easy_cash_goal,easy_survival_floor,easy_survival_strictness,easy_max_losses,easy_units_lost_cap,easy_spawn_groups,easy_win_pred_count,easy_fail_pred_count,easy_sched_count,easy_has_build,easy_solvable,easy_solvable_margin_pct,easy_solvability_issues,medium_max_turns,medium_reachable_max_tick,medium_within_ticks,medium_after_ticks,medium_effective_deadline,medium_deadline_slack,medium_agent_count,medium_agent_value,medium_enemy_count,medium_enemy_value,medium_force_ratio,medium_starting_cash,medium_kill_quota,medium_cash_goal,medium_survival_floor,medium_survival_strictness,medium_max_losses,medium_units_lost_cap,medium_spawn_groups,medium_win_pred_count,medium_fail_pred_count,medium_sched_count,medium_has_build,medium_solvable,medium_solvable_margin_pct,medium_solvability_issues,hard_max_turns,hard_reachable_max_tick,hard_within_ticks,hard_after_ticks,hard_effective_deadline,hard_deadline_slack,hard_agent_count,hard_agent_value,hard_enemy_count,hard_enemy_value,hard_force_ratio,hard_starting_cash,hard_kill_quota,hard_cash_goal,hard_survival_floor,hard_survival_strictness,hard_max_losses,hard_units_lost_cap,hard_spawn_groups,hard_win_pred_count,hard_fail_pred_count,hard_sched_count,hard_has_build,hard_solvable,hard_solvable_margin_pct,hard_solvability_issues,hard_spawn_groups,monotonicity_score,monotonicity_max,monotonicity_breaks,defect_classes,recommendation
coord-diversionary-attack,F8_multifront,False,62,5583,5400,5401,5400,183,7,4900,7,5300,0.9245,0,0,0,1,0.1429,5,5,0,3,3,0,False,True,85.7,,62,5583,5400,5401,5400,183,7,4900,9,5900,0.8305,0,0,0,1,0.1429,4,4,0,3,3,0,False,True,85.7,,62,5583,5400,5401,5400,183,7,4900,9,5900,0.8305,0,0,0,1,0.1429,4,4,2,3,3,0,False,True,85.7,,2,2,8,,,OK
coord-mutual-support,F8_multifront,True,75,6753,4500,4501,4500,2253,6,5100,8,4100,1.2439,0,5,0,5,0.8333,1,,0,4,2,0,False,True,16.7,,75,6753,4500,4501,4500,2253,6,5100,12,5300,0.9623,0,7,0,5,0.8333,1,,0,4,2,0,False,True,16.7,,75,6753,4500,4501,4500,2253,6,5100,11,5000,1.02,0,8,0,5,0.8333,1,,2,4,2,0,False,True,16.7,,2,2,8,"enemy_value: medium→hard LOOSER (m=5300, h=5000)",,OK
coord-relay-attack,F8_multifront,False,36,3243,3000,3001,3000,243,8,3800,5,2550,1.4902,0,0,0,1,0.125,4,4,0,3,3,0,False,True,87.5,,45,4053,4000,4001,4000,53,8,3800,7,3500,1.0857,0,0,0,1,0.125,4,4,0,3,3,0,False,True,87.5,,50,4503,4500,4501,4500,3,8,3800,9,4450,0.8539,0,0,0,1,0.125,4,4,2,3,3,0,False,True,87.5,,2,0,8,"effective_deadline: easy→medium LOOSER (e=3000, m=4000); effective_deadline: medium→hard LOOSER (m=4000, h=4500)",,OK
coord-relay-vision-chain,F8_multifront,True,30,2703,2400,2401,2400,303,5,4000,3,2600,1.5385,0,0,0,0,0.0,,,0,6,2,0,False,True,,,24,2163,1900,1901,1900,263,5,4000,4,2900,1.3793,0,0,0,0,0.0,,,0,7,2,0,False,True,,,24,2163,1900,1901,1900,263,5,4000,7,3800,1.0526,0,0,0,0,0.0,,,2,14,2,0,False,True,,,2,3,6,,,OK
coord-squad-handoff,F8_multifront,False,52,4683,4500,4501,4500,183,6,4050,0,0,inf,0,0,0,1,0.1667,5,,0,2,2,0,False,True,83.3,,52,4683,4500,4501,4500,183,6,4050,0,0,inf,0,0,0,1,0.1667,5,,0,2,2,0,False,True,83.3,,52,4683,4500,4501,4500,183,6,4050,0,0,inf,0,0,0,1,0.1667,5,,2,2,2,0,False,True,83.3,,2,0,8,,,OK
coordination-ordered-rendezvous,F8_multifront,False,40,3603,2200,2201,2200,1403,6,4650,0,0,inf,0,0,0,1,0.1667,5,,0,2,2,0,False,True,83.3,,48,4323,3000,3001,3000,1323,8,5650,5,2400,2.3542,0,0,0,1,0.125,2,2,0,3,3,0,False,True,87.5,,52,4683,3200,3201,3200,1483,9,6150,5,2800,2.1964,0,0,0,1,0.1111,1,1,0,3,3,0,False,True,88.9,,0,2,8,"effective_deadline: easy→medium LOOSER (e=2200, m=3000); effective_deadline: medium→hard LOOSER (m=3000, h=3200)",,OK
coordination-staggered-window,F8_multifront,True,32,2883,2700,2701,2700,183,8,5650,3,2200,2.5682,0,0,0,1,0.125,7,,0,3,2,0,False,True,87.5,,26,2343,2200,2201,2200,143,8,5650,3,2200,2.5682,0,0,0,1,0.125,7,,0,3,2,0,False,True,87.5,,32,2883,2700,2701,2700,183,12,8200,4,2700,3.037,0,0,0,1,0.0833,11,,2,4,2,0,False,True,91.7,,2,0,8,"max_losses: medium→hard LOOSER (m=7, h=11); effective_deadline: medium→hard LOOSER (m=2200, h=2700)",,OK
custom-map-no-enemy,F10_special,False,14,1263,900,901,900,363,3,700,0,0,inf,0,0,0,1,0.3333,2,,0,2,2,0,False,True,66.7,,20,1803,1500,1501,1500,303,3,700,0,0,inf,0,0,0,1,0.3333,2,,0,2,2,0,False,True,66.7,,22,1983,1600,1601,1600,383,3,700,0,0,inf,0,0,0,1,0.3333,2,,2,2,2,0,False,True,66.7,,2,-2,8,"effective_deadline: easy→medium LOOSER (e=900, m=1500); effective_deadline: medium→hard LOOSER (m=1500, h=1600)",,OK
def-bridge-chokepoint,F3_defense,False,35,3153,2700,2701,2700,453,8,2900,7,2600,1.1154,1000,4,0,0,0.0,,,0,3,2,0,False,True,74.8,,40,3603,3150,3151,3150,453,17,7700,19,3800,2.0263,1000,8,0,0,0.0,,,0,4,3,0,False,True,63.2,,45,4053,3600,3601,3600,453,20,8000,22,4100,1.9512,1000,12,0,0,0.0,,,0,4,3,0,False,True,54.4,,0,2,6,"effective_deadline: easy→medium LOOSER (e=2700, m=3150); effective_deadline: medium→hard LOOSER (m=3150, h=3600)",F-NO-SEED-ROTATION,
def-counter-battery,F3_defense,True,30,2703,2700,2701,2700,3,7,6600,18,5200,1.2692,0,12,0,1,0.1429,6,,0,3,3,0,False,True,39.3,,30,2703,2700,2701,2700,3,10,8900,25,6650,1.3383,0,14,0,1,0.1,9,,0,3,3,0,False,True,30.4,,30,2703,2700,2701,2700,3,10,8900,25,6650,1.3383,0,14,0,1,0.1,9,,2,3,3,0,False,True,30.4,,2,1,8,"max_losses: easy→medium LOOSER (e=6, m=9)",,OK
def-engineer-repair-under-fire,F3_defense,True,50,4503,2800,2801,2800,1703,10,5800,6,2600,2.2308,600,4,0,0,0.0,,,0,4,3,0,True,True,75.7,,50,4503,2700,2701,2700,1803,10,5800,8,2850,2.0351,600,6,0,0,0.0,,,0,4,3,0,True,True,65.9,,50,4503,2700,2701,2700,1803,10,5800,8,2850,2.0351,600,6,0,0,0.0,,,2,4,3,0,True,True,65.9,,2,3,6,,,OK
def-evacuation,F3_defense,True,50,4503,2700,2701,2700,1803,7,7650,7,5500,1.3909,0,0,0,3,0.4286,4,,0,3,2,0,False,True,57.1,,50,4503,2400,2401,2400,2103,7,7650,10,7250,1.0552,0,0,0,3,0.4286,4,,0,3,2,0,False,True,57.1,,50,4503,2400,2401,2400,2103,7,7650,10,7250,1.0552,0,0,0,3,0.4286,4,,2,4,2,0,False,True,57.1,,2,2,8,,,OK
def-in-depth-vs-single,F3_defense,False,60,5403,5400,5401,5400,3,6,3100,7,2600,1.1923,2400,4,0,0,0.0,,,0,6,2,0,True,True,87.4,,60,5403,5400,5401,5400,3,7,3200,11,3400,0.9412,2400,7,0,0,0.0,,,0,6,2,0,True,True,80.7,,60,5403,5400,5401,5400,3,7,3200,9,3200,1.0,2400,6,0,0,0.0,,,2,8,2,0,True,True,83.0,,2,0,6,"kill_quota: medium→hard LOOSER (m=7, h=6); enemy_value: medium→hard LOOSER (m=3400, h=3200); kill_quota m=7 > h=6",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
def-in-depth,F3_defense,True,110,9903,5400,5401,5400,4503,6,4100,1,2000,2.05,2400,3,0,0,0.0,,,0,6,2,1,True,True,89.6,,110,9903,4500,4501,4500,5403,6,4100,1,2000,2.05,2400,3,0,0,0.0,,,0,6,2,1,True,True,87.6,,110,9903,4500,4501,4500,5403,6,4100,1,2000,2.05,2400,3,0,0,0.0,,,2,8,2,1,True,True,87.6,,2,1,6,,,OK
def-multi-direction,F3_defense,True,50,4503,2700,2701,2700,1803,5,5400,5,2400,2.25,0,3,0,2,0.4,3,,0,6,3,0,False,True,60.0,,50,4503,2700,2701,2700,1803,7,7100,10,2900,2.4483,0,6,0,3,0.4286,3,3,0,8,4,0,False,True,57.1,,50,4503,2700,2701,2700,1803,9,8800,25,4400,2.0,0,8,0,3,0.3333,3,3,2,13,4,0,False,True,57.0,,2,4,8,survival_strictness m=0.43 > h=0.33,F-INVERT,fix the inverted metric (tighten hard or loosen medium)
def-position-expected-direction,F3_defense,True,66,5943,5400,5401,5400,543,7,3200,4,2300,1.3913,2400,0,0,3,0.4286,4,,0,5,3,0,True,True,57.1,,66,5943,5400,5401,5400,543,7,3200,7,2800,1.1429,2400,0,0,3,0.4286,4,,0,5,3,0,True,True,57.1,,66,5943,5400,5401,5400,543,8,3300,11,3400,0.9706,2400,0,0,3,0.375,5,,2,6,3,0,True,True,62.5,,2,1,8,"max_losses: medium→hard LOOSER (m=4, h=5); survival_strictness m=0.43 > h=0.38",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
def-position-revealed-direction,F3_defense,True,66,5943,3600,3601,3600,2343,9,5100,6,2900,1.7586,2400,0,0,1,0.1111,8,,0,4,3,0,True,True,88.9,,66,5943,3600,3601,3600,2343,9,5100,6,2900,1.7586,2400,0,0,1,0.1111,8,,0,4,3,0,True,True,88.9,,66,5943,3600,3601,3600,2343,7,5300,7,3200,1.6562,2400,0,0,1,0.1429,6,,2,4,3,0,True,True,85.7,,2,2,8,,,OK
def-pre-position-mobile-reserve,F3_defense,True,50,4503,2400,2401,2400,2103,5,5400,7,2600,2.0769,0,4,0,1,0.2,4,,0,4,3,0,False,True,71.7,,50,4503,2400,2401,2400,2103,7,7100,11,3000,2.3667,0,6,0,2,0.2857,5,,0,5,3,0,False,True,61.7,,50,4503,2400,2401,2400,2103,7,7100,13,3200,2.2188,0,6,0,2,0.2857,2,2,2,7,4,0,False,True,61.7,,2,3,8,"max_losses: easy→medium LOOSER (e=4, m=5)",,OK
def-reinforce-the-breach,F3_defense,False,40,3603,2400,2401,2400,1203,9,8800,7,2600,3.3846,0,0,0,4,0.4444,5,,0,4,2,1,False,True,55.6,,40,3603,2400,2401,2400,1203,9,8800,7,2600,3.3846,0,0,0,4,0.4444,5,,0,4,2,1,False,True,55.6,,30,2703,1900,1901,1900,803,9,8800,7,2600,3.3846,0,0,0,4,0.4444,5,,2,4,2,1,False,True,55.6,,2,1,8,,,OK
def-retreat-and-rebuild,F3_defense,True,60,5403,4500,4501,4500,903,8,6500,6,2700,2.4074,1600,0,0,1,0.125,7,,0,4,2,0,True,True,87.5,,60,5403,4500,4501,4500,903,8,6500,9,3200,2.0312,1600,0,0,1,0.125,7,,0,4,2,0,True,True,87.5,,60,5403,4500,4501,4500,903,8,6500,9,3200,2.0312,1600,0,0,1,0.125,7,,2,6,2,0,True,True,87.5,,2,1,8,,,OK
def-stance-mgmt-hold-then-attack,F3_defense,False,55,4953,4500,4501,4500,453,5,5400,7,2600,2.0769,0,4,0,3,0.6,2,,0,4,3,0,False,True,40.0,,55,4953,4500,4501,4500,453,5,5400,9,2800,1.9286,0,5,0,3,0.6,2,,0,4,3,0,False,True,40.0,,55,4953,4500,4501,4500,453,5,5400,9,2800,1.9286,0,5,0,3,0.6,2,,2,4,3,0,False,True,40.0,,2,2,8,,,OK
def-surprise-flank-react,F3_defense,True,50,4503,4500,4501,4500,3,7,3600,1,2000,1.8,800,4,0,2,0.2857,5,,0,4,3,1,True,True,71.4,,50,4503,4500,4501,4500,3,7,3600,1,2000,1.8,800,4,0,2,0.2857,5,,0,4,3,2,True,True,71.4,,50,4503,4500,4501,4500,3,7,3600,1,2000,1.8,800,4,0,2,0.2857,2,2,2,5,4,2,True,True,71.4,,2,1,8,,,OK
def-tower-line-vs-cluster,F3_defense,False,60,5403,5400,5401,5400,3,7,3200,1,2000,1.6,2400,8,0,0,0.0,,,0,8,2,1,True,True,78.5,,60,5403,5400,5401,5400,3,4,2900,11,3400,0.8529,2400,10,0,0,0.0,,,0,5,2,0,True,True,74.1,,70,6303,6300,6301,6300,3,4,2900,13,3200,0.9062,2400,8,0,0,0.0,,,2,9,2,0,True,True,81.6,,2,-1,6,"effective_deadline: medium→hard LOOSER (m=5400, h=6300); kill_quota: medium→hard LOOSER (m=10, h=8); enemy_value: medium→hard LOOSER (m=3400, h=3200); kill_quota m=10 > h=8",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
def-walls-vs-towers,F3_defense,False,60,5403,5400,5401,5400,3,5,3200,1,2000,1.6,2400,4,0,0,0.0,,,0,4,2,1,True,True,87.4,,60,5403,5400,5401,5400,3,5,3200,1,2000,1.6,2400,10,0,0,0.0,,,0,5,2,1,True,True,74.1,,60,5403,5400,5401,5400,3,5,3200,1,2000,1.6,3000,10,0,0,0.0,,,2,5,2,1,True,True,74.1,,2,1,6,,,OK
def-while-building,F3_defense,False,60,5403,5400,5401,5400,3,8,7600,6,4600,1.6522,1800,4,0,0,0.0,,,0,4,2,0,True,True,87.4,,60,5403,4500,4501,4500,903,8,7600,9,4900,1.551,1800,7,0,0,0.0,,,0,4,2,0,True,True,76.9,,60,5403,4500,4501,4500,903,8,7600,8,4800,1.5833,1800,5,0,0,0.0,,,2,4,2,0,True,True,82.2,,2,1,6,"kill_quota: medium→hard LOOSER (m=7, h=5); enemy_value: medium→hard LOOSER (m=4900, h=4800); kill_quota m=7 > h=5",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
def-with-ambush,F3_defense,True,50,4503,2400,2401,2400,2103,6,5500,13,6400,0.8594,0,6,0,0,0.0,2,2,0,4,3,0,False,True,61.7,,50,4503,2400,2401,2400,2103,8,7200,16,6500,1.1077,0,8,0,0,0.0,3,3,0,4,3,0,False,True,51.7,,50,4503,2400,2401,2400,2103,8,7200,16,6500,1.1077,0,8,0,0,0.0,3,3,2,4,3,0,False,True,51.7,,2,1,8,"max_losses: easy→medium LOOSER (e=2, m=3)",,OK
defense-rush-survive,F3_defense,True,60,5403,3199,3200,3199,2204,3,2800,5,2400,1.1667,1800,4,0,3,1.0,0,,0,4,2,0,True,True,0.0,,60,5403,3199,3200,3199,2204,3,2800,9,3200,0.875,1800,6,0,3,1.0,0,,0,5,2,0,True,True,0.0,,60,5403,3199,3200,3199,2204,4,2900,13,3600,0.8056,1800,8,0,3,0.75,3,3,2,6,3,0,True,True,25.0,,2,3,8,"max_losses: medium→hard LOOSER (m=0, h=3); survival_strictness m=1.00 > h=0.75",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
econ-burn-rate-management,F2_economy,False,14,1263,1200,1201,1200,63,12,12450,4,2300,5.413,1500,2,1801,0,0.0,,,0,5,2,0,True,True,63.3,,12,1083,1080,1081,1080,3,12,12450,6,2500,4.98,1500,3,1501,0,0.0,,,0,5,2,0,True,True,48.1,,11,993,990,991,990,3,12,12450,13,3200,3.8906,1500,4,1500,0,0.0,,,2,5,2,0,True,True,31.3,,2,6,6,,,OK
econ-buy-vs-build-decision,F2_economy,True,25,2253,1499,1500,1499,754,5,6900,5,2400,2.875,3400,3,0,0,0.0,,,0,3,2,0,True,True,62.6,,25,2253,1499,1500,1499,754,5,6900,6,2500,2.76,3400,4,0,0,0.0,,,0,3,2,0,True,True,54.6,,25,2253,1649,1650,1649,604,6,7000,7,2800,2.5,3400,5,0,0,0.0,,,2,3,2,0,True,True,51.5,,2,3,6,"effective_deadline: medium→hard LOOSER (m=1499, h=1649)",,OK
econ-cash-reserve-management,F2_economy,False,60,5403,5400,5401,5400,3,6,6400,1,100,64.0,1500,0,300,0,0.0,,,0,4,2,0,True,True,108400.0,,10,903,810,811,810,93,6,6400,1,100,64.0,1500,0,300,0,0.0,,,0,4,2,0,True,True,16600.0,,12,1083,1080,1081,1080,3,6,6400,1,100,64.0,1500,0,500,0,0.0,,,2,4,2,0,True,True,26120.0,,2,0,6,"effective_deadline: medium→hard LOOSER (m=810, h=1080)",,OK
econ-contention-with-enemy,F2_economy,False,51,4593,4500,4501,4500,93,6,7300,5,6750,1.0815,500,1,0,0,0.0,,,0,4,2,0,True,True,92.9,,51,4593,4500,4501,4500,93,7,9050,6,7900,1.1456,500,2,0,0,0.0,,,0,4,2,0,True,True,90.2,,51,4593,4500,4501,4500,93,7,9050,7,9000,1.0056,500,2,0,0,0.0,,,2,4,2,0,True,True,90.2,,2,3,6,,,OK
econ-contested-expansion,F2_economy,False,45,4053,4000,4001,4000,53,6,6200,4,2900,2.1379,2000,0,5800,0,0.0,,,0,4,2,0,True,True,2003.4,,45,4053,4000,4001,4000,53,6,6200,5,3200,1.9375,2000,0,6500,0,0.0,,,0,4,2,0,True,True,1776.9,,45,4053,4000,4001,4000,53,6,6200,5,3200,1.9375,2000,0,6500,0,0.0,,,2,4,2,0,True,True,3623.1,,2,1,6,,,OK
econ-deny-enemy-expansion,F2_economy,False,72,6483,5400,5401,5400,1083,5,5400,11,9000,0.6,0,0,0,2,0.4,3,,0,4,3,0,False,True,60.0,,60,5403,4500,4501,4500,903,5,5400,15,10000,0.54,0,0,0,2,0.4,3,,0,4,3,0,False,True,60.0,,60,5403,4500,4501,4500,903,5,5400,15,10000,0.54,0,0,0,2,0.4,3,,2,4,3,0,False,True,60.0,,2,2,8,,,OK
econ-expansion-timing,F2_economy,False,30,2703,2700,2701,2700,3,5,6800,1,100,68.0,1100,0,0,0,0.0,,,0,3,3,0,True,True,,,40,3603,3600,3601,3600,3,5,6800,1,100,68.0,1100,0,0,0,0.0,,,0,3,3,0,True,True,,,50,4503,4500,4501,4500,3,5,6800,1,100,68.0,1100,0,0,0,0.0,,,2,3,3,0,True,True,,,2,-2,6,"effective_deadline: easy→medium LOOSER (e=2700, m=3600); effective_deadline: medium→hard LOOSER (m=3600, h=4500)",,OK
econ-far-patch-vs-near-patch,F2_economy,False,50,4503,4500,4501,4500,3,3,4500,1,100,45.0,0,0,0,0,0.0,,,0,3,3,0,False,True,,,50,4503,4500,4501,4500,3,3,4500,1,100,45.0,0,0,0,0,0.0,,,0,3,3,0,False,True,,,50,4503,4500,4501,4500,3,3,4500,1,100,45.0,0,0,0,0,0.0,,,2,6,3,0,False,True,,,2,0,6,,,OK
econ-harvester-defense-raid,F2_economy,False,35,3153,3000,3001,3000,153,6,6500,1,2000,3.25,0,0,0,0,0.0,,,0,4,3,1,False,True,,,45,4053,3900,3901,3900,153,6,6500,1,2000,3.25,0,0,0,0,0.0,,,0,4,3,2,False,True,,,50,4503,4300,4301,4300,203,7,7350,1,2000,3.675,0,0,0,0,0.0,,,2,4,3,3,False,True,,,2,-2,6,"effective_deadline: easy→medium LOOSER (e=3000, m=3900); effective_deadline: medium→hard LOOSER (m=3900, h=4300)",,OK
econ-harvester-pathing-optimization,F2_economy,False,50,4503,4500,4500,4500,3,4,5600,1,100,56.0,0,0,0,0,0.0,,,0,5,3,0,False,True,,,50,4503,4500,4500,4500,3,4,5600,1,100,56.0,0,0,0,0,0.0,,,0,5,3,0,False,True,,,50,4503,4500,4500,4500,3,4,5600,1,100,56.0,0,0,0,0,0.0,,,2,8,3,0,False,True,,,2,0,6,,,OK
econ-mine-and-grow,F2_economy,False,40,3603,3600,3601,3600,3,3,3400,1,2000,1.7,2000,0,3000,0,0.0,,,0,3,1,0,True,True,3566.7,,40,3603,3600,3601,3600,3,3,3400,1,2000,1.7,2000,0,4000,0,0.0,,,0,3,1,0,True,True,2650.0,,40,3603,3600,3601,3600,3,3,3400,1,2000,1.7,2000,0,5000,0,0.0,,,2,3,1,0,True,True,4260.0,,2,0,6,,,OK
econ-multi-patch-allocation,F2_economy,False,40,3603,3600,3601,3600,3,6,6700,1,2000,3.35,1500,0,4500,0,0.0,,,0,3,2,0,True,True,9533.3,,40,3603,3600,3601,3600,3,6,6700,1,2000,3.35,1500,0,5000,0,0.0,,,0,3,2,0,True,True,8570.0,,40,3603,3600,3601,3600,3,6,6700,1,2000,3.35,1500,0,5500,0,0.0,,,2,3,2,0,True,True,15636.4,,2,0,6,,,OK
econ-overflow-to-silos,F2_economy,False,20,1803,1800,1801,1800,3,4,4800,1,2000,2.4,1000,0,0,0,0.0,,,0,3,3,0,True,True,,,21,1893,1803,1804,1803,90,10,11400,1,2000,5.7,500,0,0,0,0.0,,,0,3,3,0,True,True,,,21,1893,1803,1804,1803,90,10,11400,1,2000,5.7,500,0,0,0,0.0,,,2,3,3,0,True,True,,,2,-1,6,"effective_deadline: easy→medium LOOSER (e=1800, m=1803)",,OK
econ-protect-harvester-route,F2_economy,False,50,4503,4500,4501,4500,3,6,6500,2,2850,2.2807,0,0,0,0,0.0,,,0,5,3,0,False,True,,,60,5403,5400,5401,5400,3,6,6500,3,4850,1.3402,0,0,0,0,0.0,,,0,5,3,0,False,True,,,60,5403,5400,5401,5400,3,6,6500,2,2850,2.2807,0,0,0,0,0.0,,,2,5,3,0,False,True,,,2,-1,6,"effective_deadline: easy→medium LOOSER (e=4500, m=5400); enemy_value: medium→hard LOOSER (m=4850, h=2850)",F-INVERT-ENEMY,
econ-quantitative-vs-qualitative-spend,F2_economy,False,60,5403,5400,5300,5300,103,7,6200,7,3000,2.0667,4500,6,0,0,0.0,5,5,0,3,4,0,True,True,82.6,,60,5403,5400,5300,5300,103,7,6200,7,3000,2.0667,4500,6,0,0,0.0,4,4,0,3,3,0,True,True,82.6,,60,5403,5400,5300,5300,103,7,6200,14,5100,1.2157,4500,6,0,0,0.0,4,4,2,3,3,0,True,True,82.6,,2,2,8,,,OK
econ-recover-from-zero-cash,F2_economy,False,70,6303,6300,6301,6300,3,3,4500,1,2000,2.25,0,0,0,0,0.0,,,0,5,3,0,True,True,,,70,6303,6300,6301,6300,3,3,4500,1,2000,2.25,0,0,0,0,0.0,,,0,4,3,0,True,True,,,70,6303,6300,6301,6300,3,3,4500,1,2000,2.25,0,0,0,0,0.0,,,2,4,3,0,True,True,,,2,0,6,,,OK
econ-replace-dead-harvester,F2_economy,False,60,5403,5400,5401,5400,3,9,11500,2,4000,2.875,1100,0,0,0,0.0,,,0,4,3,0,True,True,,,60,5403,5400,5401,5400,3,9,11500,2,4000,2.875,1100,0,0,0,0.0,,,0,4,3,0,True,True,,,60,5403,5400,5401,5400,3,11,13800,4,8000,1.725,3300,0,0,0,0.0,,,2,3,3,0,True,True,,,2,1,6,,,OK
econ-resource-trade-with-self,F2_economy,False,30,2703,2700,2701,2700,3,5,6800,1,2000,3.4,500,0,5500,0,0.0,,,0,3,3,0,True,True,1381.8,,40,3603,3600,3601,3600,3,5,6800,1,2000,3.4,500,0,7500,0,0.0,,,0,3,3,0,True,True,1346.7,,50,4503,4500,4501,4500,3,5,6800,1,2000,3.4,500,0,9000,0,0.0,,,2,3,3,0,True,True,2905.6,,2,-2,6,"effective_deadline: easy→medium LOOSER (e=2700, m=3600); effective_deadline: medium→hard LOOSER (m=3600, h=4500)",,OK
econ-second-base-race,F2_economy,False,40,3603,3600,3601,3600,3,3,3400,1,2000,1.7,2000,0,0,0,0.0,,,0,3,1,0,True,True,,,40,3603,3600,3601,3600,3,3,3400,1,2000,1.7,2000,0,0,0,0.0,,,0,3,1,0,True,True,,,40,3603,3600,3601,3600,3,3,3400,1,2000,1.7,2000,0,0,0,0.0,,,2,4,1,0,True,True,,,2,0,6,,,OK
econ-silo-vs-spend,F2_economy,False,20,1803,1800,1801,1800,3,4,4800,3,2200,2.1818,1800,1,0,0,0.0,,,0,6,3,0,True,True,82.2,,14,1263,1260,1261,1260,3,5,5900,4,2300,2.5652,1800,2,0,0,0.0,,,0,6,3,0,True,True,65.1,,14,1263,1260,1261,1260,3,5,5900,4,2300,2.5652,1800,2,0,0,0.0,,,2,6,3,0,True,True,65.1,,2,3,6,,,OK
econ-startup-from-scratch,F2_economy,False,50,4503,4500,4501,4500,3,1,2000,1,2000,1.0,1900,0,0,0,0.0,,,0,4,1,0,True,True,,,40,3603,3600,3601,3600,3,1,2000,1,2000,1.0,1900,0,0,0,0.0,,,0,4,1,0,True,True,,,45,4053,4000,4001,4000,53,1,2000,1,2000,1.0,1900,0,0,0,0.0,,,2,4,1,0,True,True,,,2,0,6,"effective_deadline: medium→hard LOOSER (m=3600, h=4000)",,OK
econ-target-cash-amount-by-deadline,F2_economy,False,30,2703,2700,2701,2700,3,6,7300,1,100,73.0,600,0,1500,0,0.0,,,0,3,3,0,True,True,5340.0,,51,4593,4500,4501,4500,93,6,7300,1,100,73.0,600,0,5500,0,0.0,,,0,3,3,0,True,True,2365.5,,46,4143,4000,4001,4000,143,6,7300,1,100,73.0,600,0,6500,0,0.0,,,2,3,3,0,True,True,3601.5,,2,0,6,"effective_deadline: easy→medium LOOSER (e=2700, m=4500)",,OK
econ-tech-vs-expand-decision,F2_economy,False,30,2703,2700,2701,2700,3,5,6800,1,100,68.0,2000,0,0,0,0.0,,,0,3,3,0,True,True,,,40,3603,3600,3601,3600,3,5,6800,1,100,68.0,2000,0,0,0,0.0,,,0,3,3,0,True,True,,,50,4503,4500,4501,4500,3,5,6800,1,100,68.0,2000,0,0,0,0.0,,,2,3,3,0,True,True,,,2,-2,6,"effective_deadline: easy→medium LOOSER (e=2700, m=3600); effective_deadline: medium→hard LOOSER (m=3600, h=4500)",,OK
economy-force-buildup,F2_economy,False,30,2703,2700,2703,2700,3,3,2800,1,100,28.0,2400,0,0,0,0.0,,,0,3,1,0,True,True,,,28,2523,2520,2523,2520,3,3,2800,1,100,28.0,1900,0,0,5,1.6667,0,,0,4,1,0,True,True,-66.7,,24,2163,2160,2163,2160,3,3,2800,1,100,28.0,2150,0,0,0,0.0,0,0,0,4,2,0,True,True,,,0,2,6,,,OK
economy-harvest-investment,F2_economy,False,80,7203,7200,7200,7200,3,5,6800,1,100,68.0,1100,0,0,1,0.2,4,,0,4,3,0,True,True,80.0,,80,7203,7200,7200,7200,3,5,6800,1,100,68.0,1100,0,0,1,0.2,4,,0,4,3,0,True,True,80.0,,90,8103,8100,8100,8100,3,5,6800,1,100,68.0,1100,0,0,1,0.2,4,,2,4,3,0,True,True,80.0,,2,-1,8,"effective_deadline: medium→hard LOOSER (m=7200, h=8100)",,OK
economy-harvest-timebox,F2_economy,False,22,1983,1800,1801,1800,183,5,6800,0,0,inf,1100,0,0,1,0.2,4,,0,2,2,0,True,True,80.0,,35,3153,3000,3001,3000,153,5,6800,0,0,inf,1100,0,0,1,0.2,4,,0,2,2,0,True,True,80.0,,42,3783,3600,3601,3600,183,5,6800,0,0,inf,2200,0,0,1,0.2,4,,2,2,2,0,True,True,80.0,,2,-2,8,"effective_deadline: easy→medium LOOSER (e=1800, m=3000); effective_deadline: medium→hard LOOSER (m=3000, h=3600)",,OK
economy-investment,F2_economy,False,24,2163,1893,1893,1893,270,4,4200,1,100,42.0,1700,0,0,0,0.0,,,0,3,1,0,True,True,,,26,2343,2073,2073,2073,270,4,4200,1,100,42.0,2000,0,0,3,0.75,1,,0,4,1,0,True,True,25.0,,32,2883,2613,2613,2613,270,4,4200,1,100,42.0,2200,0,0,22,5.5,0,,0,3,1,0,True,True,-450.0,,0,-2,6,"effective_deadline: easy→medium LOOSER (e=1893, m=2073); effective_deadline: medium→hard LOOSER (m=2073, h=2613)",,OK
