"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","starting_cash","economy_setup","wrong_strategy_loss"
"econ-far-patch-vs-near-patch","hard","reasoning","econ-far-patch-vs-near-patch-arena-64x40","64x40","fit","observe, harvest, move_units, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=28): fact + proc + 1× harv pre-placed at FAR patch on matching latitude","1× anti-DRAW rifle infantry HoldFire","passive (st0 anti-DRAW e1) — no combat","","Commander, this is a harvester routing decision with seed-rotated base latitude. You hold a Construction Yard (fact) and Ore Refinery (proc) on either the NORTH (y=14..18) or SOUTH (y=24..28) side of the map — the seed picks — plus one harvester (harv, unarmed ore truck) on a far ore patch at the matching latitude (56,14) or (56,28). A near patch at (16, your-y) sits beside your refinery. Within about 50 turns, deliver economy value of at least $5500 while keeping the Construction Yard and refinery standing — and finish with at least one harvester within radius 8 of (16,14) or (16,28), the near-patch region matching your spawn.","economy_value ≥$5500 AND ≥1 harv near matching near patch, within 4500 ticks.","fact or proc lost, or deadline (4501 ticks).","50","4503","0","Per-spawn far-patch harv; near-patch reroute is the decision; harv-in-region clause forces actual reroute","Stall → far patch insufficient income AND no harv at near patch → LOSS on both clauses."
"econ-harvester-defense-raid","easy","action","econ-harvester-defense-raid-arena","?x?","fit","observe, harvest, move_units, attack_unit, attack_move, set_stance, stop","Allied base @(8-14,8-14): fact + powr + proc + 1× harv + 2× medium tank on HOLD-FIRE","1× far mine @(30,28); raider bot active + anti-DRAW enemy fact @(90,20)","hunter (raider bot targets nearest harv)","","Commander, this is a harvester-defense-raid drill. You hold a Construction Yard (fact), Power Plant (powr), Ore Refinery (proc), one harvester (harv, unarmed ore truck), and two medium tanks (2tnk) on hold-fire orders, all in the NW base. An enemy raider bot will target your harvester. Within about 35 turns, accumulate $1200 cash by tick 1700, then maintain proc and at least one harv alive through the deadline. Lift the tanks' hold-fire and intercept the raider, then let the harv auto-route to ore.","cash ≥$1200 by tick 1700 (then) AND ≥1 harv AND proc alive, within 3000 ticks.","No harv, no proc, or deadline (3001 ticks).","35","3243","0","1 harv on patch ~22 cells from proc; raider bot threatens harv; 2 tanks on HOLD-FIRE must be activated","Stall → raider kills harv → harv-bar fails → LOSS. Tanks left on HOLD-FIRE → raider unopposed → harv dies → LOSS."
"econ-harvester-defense-raid","medium","action","econ-harvester-defense-raid-arena","?x?","fit","observe, harvest, move_units, attack_unit, attack_move, set_stance, stop","Allied base @(8-14,8-14): fact + powr + proc + 1× harv + 2× medium tank on HOLD-FIRE","Raider bot + anti-DRAW enemy fact","hunter (raider bot targets nearest harv)","","Commander, this is a harvester-defense-raid drill with a higher cash bar. You hold a Construction Yard (fact), Power Plant (powr), Ore Refinery (proc), one harvester (harv, unarmed ore truck), and two medium tanks (2tnk) on hold-fire orders. An enemy raider bot will target your harvester. Within about 45 turns, accumulate $2200 cash by tick 2700, then maintain proc and at least one harv alive through the deadline. Lift the tanks' hold-fire and intercept the raider while the harv keeps mining.","cash ≥$2200 by tick 2700 AND ≥1 harv AND proc alive, within 3900 ticks.","No harv, no proc, or deadline (3901 ticks).","45","4143","0","1 harv on patch; raider; 2 tanks on HOLD-FIRE need activation; higher $2200 bar","Stall → harv dies → LOSS. Tanks not engaged → harv dies → LOSS."
"econ-harvester-defense-raid","hard","action","econ-harvester-defense-raid-arena","?x?","fit","observe, harvest, move_units, attack_unit, attack_move, set_stance, stop","Allied base seed-rotated NW (y=8) or SW (y=32): fact + powr + proc + 1× harv + 3× medium tank on HOLD-FIRE","Raider bot + 2 patches (one each latitude) + anti-DRAW enemy fact","hunter (raider bot targets nearest harv)","","Commander, this is a harvester-defense-raid drill with seed-rotated base latitude. You hold a Construction Yard (fact), Power Plant (powr), Ore Refinery (proc), one harvester (harv, unarmed ore truck), and three medium tanks (2tnk) on hold-fire orders, staged in either the NW (y=8) or SW (y=32) corner. An enemy raider bot will target your harvester. Within about 50 turns, accumulate $2800 cash by tick 3500, then maintain proc and at least one harv alive through the deadline. Lift the tanks' hold-fire and intercept the raider while harvesting continues.","cash ≥$2800 by tick 3500 AND ≥1 harv AND proc alive, within 4300 ticks.","No harv, no proc, or deadline (4301 ticks).","50","4593","0","1 harv per spawn; 3× medium tank on HOLD-FIRE per spawn; raider bot per seed","Stall → harv dies → LOSS. Tanks not engaged → harv dies → LOSS. Wrong-spawn opening fails."
"econ-harvester-pathing-optimization","easy","reasoning","econ-harvester-pathing-optimization-96x40","96x40","fit","observe, harvest, move_units, stop","Allied base @(10-14,18-22): fact + proc + 2× harv at home patch + near (16,18) and mid (60,18) mines","1× anti-DRAW rifle infantry @(90,34) HoldFire","passive (st0 anti-DRAW e1) — no combat","","Commander, this is a harvester pathing optimization drill. You hold a Construction Yard (fact) and Ore Refinery (proc) on the west, with two harvesters (harv, unarmed ore trucks) and ore mines at (16,18) (near base) and (60,18) (mid map). The intended play is to route the two harvs to DIFFERENT patches so two parallel cycles run; leaving both on the near patch means one harv waits idle each turn. Within about 50 turns, deliver economy value of at least $4000 with one harvester near the near patch (radius 6 of (16,18)) AND one harvester near the mid patch (radius 6 of (60,18)), keeping the Construction Yard and refinery standing.","economy_value ≥$4000 AND 1 harv near near-patch AND 1 harv near mid-patch, within 4500 ticks.","fact or proc lost, or deadline (4500 ticks).","50","4503","0","2 harvs at home; 2 patches near (16,18) and mid (60,18); pathing-split decision","Stall → both auto-route to nearest → one patch idle → mid-region clause unmet → LOSS."
"econ-harvester-pathing-optimization","medium","reasoning","econ-harvester-pathing-optimization-96x40","96x40","fit","observe, harvest, move_units, stop","Allied base @(10-14,18-22): fact + proc + 2× harv; near (16,18) and FAR (80,18) mines","1× anti-DRAW rifle infantry @(90,34) HoldFire","passive (st0 anti-DRAW e1) — no combat","","Commander, this is a harvester pathing optimization drill with a farther mid-patch. You hold a Construction Yard (fact) and Ore Refinery (proc) on the west, with two harvesters (harv, unarmed ore trucks) and ore mines at (16,18) (near base) and (80,18) (far across the map). Within about 50 turns, deliver economy value of at least $5000 with one harvester near the near patch (radius 6 of (16,18)) AND one harvester near the far patch (radius 6 of (80,18)), keeping the Construction Yard and refinery standing.","economy_value ≥$5000 AND 1 harv near near-patch AND 1 harv near far-patch, within 4500 ticks.","fact or proc lost, or deadline (4500 ticks).","50","4503","0","Same 2 harvs; near (16) + far (80) — long route. Manual split needed","Stall → both on nearest patch → far-region clause unmet → LOSS."
"econ-harvester-pathing-optimization","hard","reasoning","econ-harvester-pathing-optimization-96x40","96x40","fit","observe, harvest, move_units, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=28): fact + proc + 2× harv on matching latitude near/far patches","1× anti-DRAW rifle infantry HoldFire","passive (st0 anti-DRAW e1) — no combat","","Commander, this is a harvester pathing optimization drill with seed-rotated base latitude. You hold a Construction Yard (fact) and Ore Refinery (proc) at either NORTH (y=14) or SOUTH (y=28), with two harvesters (harv, unarmed ore trucks) and ore mines on the matching latitude — near (16) and far (80) patches. Within about 50 turns, deliver economy value of at least $5000 with one harvester near each patch on YOUR latitude.","economy_value ≥$5000 AND 1 harv near each patch on matching latitude, within 4500 ticks.","fact or proc lost, or deadline (4500 ticks).","50","4503","0","Per-spawn 2 harvs + near/far patches at spawn latitude","Stall → both on near patch → far-region clause unmet → LOSS."
"econ-mine-and-grow","easy","reasoning","econ-mine-and-grow-arena","96x40","fit","observe, build, place_building, move_units, stop","Allied base @(10,18-20): fact + powr + 1× harv; ore patches mid-map","Anti-DRAW enemy fact @(90,20)","passive (anti-DRAW enemy fact only)","","Commander, this is a mine-and-grow drill. You hold a Construction Yard (fact), Power Plant (powr), and one harvester (harv, unarmed ore truck), with $2000 cash. No refinery exists yet — you must build one ($2000 for proc) to convert mined ore into cash. Within about 40 turns, build at least one refinery and finish with at least $3000 cash.","≥1 proc AND cash ≥$3000, within 3600 ticks.","Deadline (3601 ticks).","40","3603","2000","1 harv idle without proc; starting cash 2000 funds exactly 1× proc ($2000); then harv mines → income builds bank","Stall → no proc → harv idle → cash bar unmet → LOSS. Spend cash on other buildings without proc → no income → LOSS."
"econ-mine-and-grow","medium","reasoning","econ-mine-and-grow-arena","96x40","fit","observe, build, place_building, move_units, stop","Allied base: fact + powr + 1× harv","Anti-DRAW enemy fact","passive (anti-DRAW enemy fact only)","","Commander, this is a mine-and-grow drill with a higher cash bar. You hold a Construction Yard (fact), Power Plant (powr), and one harvester (harv, unarmed ore truck), with $2000 cash. No refinery exists yet — you must build one to convert ore to cash. Within about 40 turns, build at least one refinery and finish with at least $4000 cash.","≥1 proc AND cash ≥$4000, within 3600 ticks.","Deadline (3601 ticks).","40","3603","2000","Same setup; tighter $4000 bar requires actually using the harv cycle through the proc for several rounds","Stall → no proc → no income → LOSS. Spend cash elsewhere → bar unmet → LOSS."
"econ-mine-and-grow","hard","reasoning","econ-mine-and-grow-arena","96x40","fit","observe, build, place_building, move_units, stop","Allied base seed-rotated NORTH (y=12) or SOUTH (y=28): fact + powr + 1× harv on matching latitude patch","Anti-DRAW enemy fact @(90,20) + ore patches @(60, 12 or 28)","passive (anti-DRAW enemy fact only)","","Commander, this is a mine-and-grow drill with seed-rotated base latitude. You hold a Construction Yard (fact), Power Plant (powr), and one harvester (harv, unarmed ore truck) at either the NORTH (y=12) or SOUTH (y=28) latitude — the seed picks — with $2000 cash. No refinery exists. Within about 40 turns, build at least one refinery and finish with at least $5000 cash.","≥1 proc AND cash ≥$5000, within 3600 ticks.","Deadline (3601 ticks).","40","3603","2000","Per-spawn 1 harv; build proc ($2000) on matching latitude near patch","Stall → no proc → LOSS. Spend cash elsewhere → LOSS. Memorised spawn vector wastes ticks on wrong spawn."
"econ-multi-patch-allocation","easy","reasoning","econ-multi-patch-arena","128x40","wide","observe, build, place_building, move_units, harvest, stop","Allied base @(8,18-20): fact + powr + 4× harv pre-placed at 4 patches (small 500cr @(20,20), mid 2000cr @(40,8)+(40,32), large 3500cr @(115,20))","Anti-DRAW enemy fact @(125,20)","passive (anti-DRAW enemy fact only)","","Commander, this is a multi-patch allocation drill. You hold a Construction Yard (fact) and Power Plant (powr) on the west, with FOUR harvesters (harv, unarmed ore trucks) pre-placed on four ore patches spread across the map: a small patch (500cr) at (20,20), two mid patches (2000cr each) at (40,8) and (40,32), and a large patch (3500cr) at (115,20). With $1500 cash, build a second refinery ($2000) somewhere useful — placing it near the far rich patch (115,20) lets that distant harv deposit locally instead of trekking to the home proc. Within about 40 turns, end with 2 refineries and at least $4500 cash.","2 procs AND cash ≥$4500, within 3600 ticks.","fact lost, or deadline (3601 ticks).","40","3603","1500","4 harvs on 4 patches at different distances (4 to 107 cells from home proc); placement choice for 2nd proc dominates throughput","Stall → no 2nd proc → bar unmet → LOSS. Place 2nd proc next to home → no income gain → LOSS."
"econ-multi-patch-allocation","medium","reasoning","econ-multi-patch-arena","128x40","wide","observe, build, place_building, move_units, harvest, stop","Allied base + 4× harv on 4 patches (same layout as easy)","Anti-DRAW enemy fact","passive (anti-DRAW enemy fact only)","","Commander, this is a multi-patch allocation drill with a higher cash bar. You hold a Construction Yard (fact) and Power Plant (powr) on the west, with FOUR harvesters (harv, unarmed ore trucks) pre-placed on four ore patches spread across the map (small at (20,20), two mid at (40,8) and (40,32), large at (115,20)). With $1500 cash, build a second refinery and place it near the far rich patch to shorten that round-trip. Within about 40 turns, end with 2 refineries and at least $5000 cash.","2 procs AND cash ≥$5000, within 3600 ticks.","fact lost, or deadline (3601 ticks).","40","3603","1500","Same 4 harvs/4 patches; $5000 bar requires 2nd proc placed near far patch","Stall → bar unmet → LOSS. 2nd proc at home → no gain → LOSS."
"econ-multi-patch-allocation","hard","reasoning","econ-multi-patch-arena","128x40","wide","observe, build, place_building, move_units, harvest, stop","Allied base seed-rotated NORTH (y=12) or SOUTH (y=28): fact + powr + 4× harv on 4 patches at matching latitude offsets","Anti-DRAW enemy fact","passive (anti-DRAW enemy fact only)","","Commander, this is a multi-patch allocation drill with seed-rotated base latitude. You hold a Construction Yard (fact) and Power Plant (powr) at either NORTH (y=12) or SOUTH (y=28), with FOUR harvesters on four patches at matching latitude offsets (small near (20), two mid at (40, 4/20/36 depending on seed), large at (115,20)). With $1500 cash, build a second refinery placed for best income. Within about 40 turns, end with 2 refineries and at least $5500 cash.","2 procs AND cash ≥$5500, within 3600 ticks.","fact lost, or deadline (3601 ticks).","40","3603","1500","Per-spawn 4 harvs/multi-patches; choice of 2nd proc location load-bearing","Stall → LOSS. Wrong placement (home or off-latitude) → no income gain → LOSS."
"econ-overflow-to-silos","easy","reasoning","econ-overflow-to-silos-64x40","64x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(8-14,18-20): fact + proc + powr + 1× harv on near patch","Anti-DRAW enemy fact @(60,4)","passive (anti-DRAW enemy fact only)","","Commander, this is an overflow-to-silos drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), and one harvester (harv, unarmed ore truck) on a near patch, with $1000 cash. Without silos (storage), the refinery has limited buffer and overflowing ore is lost. Within about 20 turns, build extra silos ($150 each) or spend cash so the economy value (cash + buffer) reaches at least $6000.","economy_value ≥$6000 AND fact AND proc, within 1800 ticks.","fact or proc lost, or deadline (1801 ticks).","20","1803","1000","1 harv on near patch; refinery has small ore buffer; silos cost $150 each","Stall → buffer fills, ore lost → bar unmet → LOSS. No silos but harv keeps mining → wasted cycles."
"econ-overflow-to-silos","medium","reasoning","econ-overflow-to-silos-64x40","64x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(8-14,14-22): fact + proc + powr + 7× harv on 7 stacked mines","Anti-DRAW enemy fact @(60,4)","passive (anti-DRAW enemy fact only)","","Commander, this is a heavy-overflow silo drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), and SEVEN harvesters (harv, unarmed ore trucks) on stacked patches all dumping into one refinery, with $500 cash. The refinery buffer overflows fast with seven harvs hauling — without silos to capture excess ore, most of the income is dropped. Within about 21 turns, build silos and reach economy value of at least $19500.","economy_value ≥$19500 AND fact AND proc, within 1803 ticks.","fact or proc lost, or deadline (1804 ticks).","21","1893","500","7 harvs flooding 1 proc; overflow loss without silos; silos $150 each","Stall → catastrophic overflow loss → bar unmet → LOSS. Cash spent on power/other → no storage → LOSS."
"econ-overflow-to-silos","hard","reasoning","econ-overflow-to-silos-64x40","64x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base seed-rotated WEST (x=8) or EAST (x=40): fact + proc + powr + 7× harv on 7 stacked mines","Anti-DRAW enemy fact @(60,4)","passive (anti-DRAW enemy fact only)","","Commander, this is a heavy-overflow silo drill with seed-rotated base position. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), and SEVEN harvesters (harv, unarmed ore trucks) flooding one refinery at either the WEST (x=8) or EAST (x=40) base — the seed picks. With $500 cash, build silos fast or the refinery's tiny buffer drops most income. Within about 21 turns, reach economy value of at least $19500.","economy_value ≥$19500 AND fact AND proc, within 1803 ticks.","fact or proc lost, or deadline (1804 ticks).","21","1893","500","7 harvs per spawn; flood overflow; silos required","Stall → overflow drops income → LOSS. Wrong spawn opening fails."
"econ-protect-harvester-route","easy","action","rush-hour-arena","128x40","wide","observe, harvest, move_units, attack_unit, attack_move, stop","Allied base @(8-15,18-20): fact + proc + powr + 1× harv + 2× medium tank @(15,19/21) on Defend","Mid patch @(50,20) + 1× enemy medium tank @(75,20) (raider) + anti-DRAW enemy fact @(120,20)","hunter (raider bot — 2tnk targets harv)","","Commander, this is a protect-harvester-route drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), one harvester (harv, unarmed ore truck), and two medium tanks (2tnk) at base on Defend orders. The only ore patch is at (50,20) mid-map, and an enemy medium tank (raider bot) is hunting your harvester from (75,20). Within about 50 turns, deliver $1000 economy value while keeping your harvester, refinery, and Construction Yard alive. Escort the harv with your tanks; leaving them at base lets the raider pick the harv off in the open.","economy_value ≥$1000 AND ≥1 harv AND fact AND proc, within 4500 ticks.","No harv, fact lost, or deadline (4501 ticks).","50","4503","0","1 harv must travel 38 cells one-way to mid patch; raider 25 cells east of patch threatens convoy","Stall → harv idle, no income → LOSS. Send harv unescorted → raider kills harv → LOSS."
"econ-protect-harvester-route","medium","action","rush-hour-arena","128x40","wide","observe, harvest, move_units, attack_unit, attack_move, stop","Same as easy (medium uses same actor layout) + tighter $1200 bar","Mid patch + 1 raider 2tnk + anti-DRAW fact","hunter (raider bot — 2tnk targets harv)","","Commander, this is a protect-harvester-route drill with a higher cash bar. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), one harvester (harv, unarmed ore truck), and two medium tanks (2tnk) on Defend orders at base. The only ore patch is at (50,20) mid-map; an enemy medium tank (raider bot) hunts the harvester from (75,20). Within about 60 turns, deliver $1200 economy value while keeping the harvester, refinery, and Construction Yard alive. Escort with your tanks.","economy_value ≥$1200 AND ≥1 harv AND fact AND proc, within 5400 ticks.","No harv, fact lost, or deadline (5401 ticks).","60","5403","0","Same 1-harv-1-mid-patch setup; raider; higher cash bar","Stall → no income → LOSS. Unescorted harv → killed → LOSS."
"econ-protect-harvester-route","hard","action","rush-hour-arena","128x40","wide","observe, harvest, move_units, attack_unit, attack_move, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=26): fact + proc + powr + 1× harv + 2× medium tank","Per-latitude mid patch @(50, 14 or 26) + 1× raider 2tnk + anti-DRAW fact","hunter (raider bot — 2tnk targets harv)","","Commander, this is a protect-harvester-route drill with seed-rotated base latitude. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), one harvester (harv, unarmed ore truck), and two medium tanks (2tnk) at either the NORTH (y=14) or SOUTH (y=26) base — the seed picks. The only ore patch is at (50, your-y); an enemy medium tank (raider bot) hunts the harvester. Within about 60 turns, deliver $1200 economy value while keeping the harvester, refinery, and Construction Yard alive.","economy_value ≥$1200 AND ≥1 harv AND fact AND proc, within 5400 ticks.","No harv, fact lost, or deadline (5401 ticks).","60","5403","0","Per-spawn 1 harv + 1 mid patch; raider hunts on matching latitude","Stall → no income → LOSS. Unescorted → harv dies → LOSS."
"econ-quantitative-vs-qualitative-spend","easy","reasoning","econ-quantitative-vs-qualitative-56x40","56x40","fit","build, place_building, move_units, attack_unit, attack_move, stop","Allied base @(8-16,20-26): fact + powr + tent + weap + fix + 2× rifle infantry HOLD-FIRE; $4500 cash","4× rifle infantry @(40,18-22) + 2× rocket infantry @(42,19/21) HUNTER (st3) + anti-DRAW enemy fact @(52,20)","hunter (st3 mixed e1/e3 rush + dog + pbox on hard)","","Commander, this is a quantitative-vs-qualitative spend drill. You hold a full Allied base — Construction Yard (fact), Power Plant (powr), Allied Barracks (tent), War Factory (weap), Service Depot (fix) — plus two starter rifle infantry on hold-fire, and $4500 cash. A mixed enemy wave of 4 riflemen plus 2 anti-tank rocket soldiers is rushing your base. The $4500 can buy a SWARM (many cheap units, e.g. 45× e1 @ $100) OR QUALITY (5× medium tank @ $850 = $4250). Within about 60 turns, kill at least 6 enemies while losing no more than 5 of your own, keeping the Construction Yard standing.","≥6 kills AND ≤5 own losses AND fact standing, within 5400 ticks.","Loss cap busted, fact lost, or deadline (5300 ticks per fail).","60","5403","4500","No income engine; $4500 spend = up to 45× $100 e1 (swarm) or 5× $850 2tnk (quality)","Pure swarm (45× e1) loses too many to e3 → loss cap busted → LOSS. Stall → fact razed → LOSS."
"econ-quantitative-vs-qualitative-spend","medium","reasoning","econ-quantitative-vs-qualitative-56x40","56x40","fit","build, place_building, move_units, attack_unit, attack_move, stop","Same Allied base + 2 starter rifle inf HOLD-FIRE; $4500","4× rifle infantry + 2× rocket infantry HUNTER + anti-DRAW fact @(52,20)","hunter (st3 mixed e1/e3 rush + dog + pbox on hard)","","Commander, this is a quantitative-vs-qualitative spend drill with a tighter loss cap. You hold a full Allied base — Construction Yard, Power Plant, Allied Barracks, War Factory, Service Depot — plus two starter rifle infantry on hold-fire, and $4500 cash. A mixed enemy wave of 4 riflemen plus 2 anti-tank rocket soldiers is rushing your base. Within about 60 turns, kill at least 6 enemies while losing no more than 4 of your own, keeping the Construction Yard standing.","≥6 kills AND ≤4 own losses AND fact standing, within 5400 ticks.","Loss cap busted, fact lost, or deadline (5300 ticks per fail).","60","5403","4500","Same $4500 budget; tighter ≤4 loss cap punishes pure swarm","Swarm loses 5+ infantry to e3 → cap busted → LOSS. Stall → fact razed → LOSS."
"econ-quantitative-vs-qualitative-spend","hard","reasoning","econ-quantitative-vs-qualitative-56x40","56x40","fit","build, place_building, move_units, attack_unit, attack_move, stop","Allied base seed-rotated NORTH (y=10) or SOUTH (y=30): fact + powr + tent + weap + fix + 2 starter rifle infantry HOLD-FIRE; $4500","NORTH spawn: 5× e1 + 1× dog + 1× pbox @x=40-44 y=8-12. SOUTH spawn: 6× e3 @x=40-42 y=28-32. Both HUNTER + anti-DRAW fact @(52,20)","hunter (st3 mixed e1/e3 rush + dog + pbox on hard)","","Commander, this is a quantitative-vs-qualitative spend drill with seed-rotated base latitude AND seed-rotated enemy composition. You hold a full Allied base on either NORTH (y=10) or SOUTH (y=30) — the seed picks — plus two starter rifle infantry on hold-fire, and $4500 cash. The enemy composition differs by spawn: NORTH faces a mixed wave with attack dogs and a pillbox; SOUTH faces a heavy anti-tank rocket soldier wall. Within about 60 turns, kill at least 6 enemies while losing no more than 4 of your own, keeping the Construction Yard standing. The right spend differs by what you face.","≥6 kills AND ≤4 own losses AND fact standing, within 5400 ticks.","Loss cap busted, fact lost, or deadline (5300 ticks per fail).","60","5403","4500","Same $4500; per-spawn enemy comp differs (mix vs all-e3); choice of swarm vs quality depends on spawn","Memorised one-shape spend (e.g. all tanks) fails on e3-heavy spawn or vice-versa → LOSS. Swarm vs e3 → cap busted → LOSS."
"econ-recover-from-zero-cash","easy","reasoning","econ-recover-from-zero-cash-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(8-14,18): fact + proc + 1× harv on near patch (no powr — must build); $0 cash","Anti-DRAW enemy fact @(42,4)","passive (anti-DRAW enemy fact only)","","Commander, this is a zero-cash recovery drill. You hold a Construction Yard (fact), Ore Refinery (proc), and one harvester (harv, unarmed ore truck) on a near patch — but NO Power Plant and ZERO cash. Without power the refinery cannot process and the harv idles. Within about 70 turns, build at least one Power Plant ($300 — requires waiting for harvest income), keep the harv alive, and finish with economy value at least $1500.","economy_value ≥$1500 AND fact AND ≥1 powr AND ≥1 harv, within 6300 ticks.","No harv, fact lost, or deadline (6301 ticks).","70","6303","0","1 harv idle initially (no power); must wait for first bale income to build powr; $300 powr is minimum spend","Stall → no powr → no income → bar unmet → LOSS. Build wrong building → wastes scarce cash → LOSS."
"econ-recover-from-zero-cash","medium","reasoning","econ-recover-from-zero-cash-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base: fact + proc + 1× harv; $0 cash","Anti-DRAW enemy fact @(42,4)","passive (anti-DRAW enemy fact only)","","Commander, this is a zero-cash recovery drill with a tighter target. You hold a Construction Yard (fact), Ore Refinery (proc), and one harvester (harv, unarmed ore truck) on a near patch — ZERO cash. Within about 70 turns, recover to economy value at least $2000 AND TWO harvesters alive (build a second harv at $1400 once cash allows), keeping the Construction Yard.","economy_value ≥$2000 AND ≥2 harvs AND fact, within 6300 ticks.","No harv, fact lost, or deadline (6301 ticks).","70","6303","0","1 harv → need to grow to 2 harvs (extra $1400 from earned income)","Stall → only 1 harv → 2-harv clause unmet → LOSS. Spend cash elsewhere → no 2nd harv → LOSS."
"econ-recover-from-zero-cash","hard","reasoning","econ-recover-from-zero-cash-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=26): fact + proc + 1× harv on matching latitude; $0 cash","Anti-DRAW enemy fact @(42,4)","passive (anti-DRAW enemy fact only)","","Commander, this is a zero-cash recovery drill with seed-rotated base latitude AND a heavy growth target. You hold a Construction Yard (fact), Ore Refinery (proc), and one harvester (harv, unarmed ore truck) on a near patch at NORTH (y=14) or SOUTH (y=26) — ZERO cash. Within about 70 turns, recover to economy value at least $3000 AND THREE harvesters alive (build two more at $1400 each), keeping the Construction Yard.","economy_value ≥$3000 AND ≥3 harvs AND fact, within 6300 ticks.","No harv, fact lost, or deadline (6301 ticks).","70","6303","0","1 harv → grow to 3 (need $2800 + economy value)","Stall → only 1 harv → LOSS. Spend on tanks/other → no extra harvs → LOSS. Memorised opening fails on wrong spawn."
"econ-replace-dead-harvester","easy","reasoning","econ-replace-dead-harvester-64x40","64x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(8-15,18-23): fact + proc + tent + weap + 3× harv + 2× heavy tank @(15,21/23) on Defend; $1100","1× Mammoth tank @(18,22) (in-base raider) + anti-DRAW enemy fact @(60,34)","hunter (Mammoth 4tnk in-base raider attacks harvs)","","Commander, this is a harvester-replacement drill. You hold a Construction Yard (fact), Ore Refinery (proc), Allied Barracks (tent), War Factory (weap), three harvesters (harv, unarmed ore trucks), and two heavy tanks (3tnk) on Defend orders, with $1100 cash. A Mammoth tank (4tnk — very heavy enemy raider) is already inside your base at (18,22) and will kill harvesters fast. Within about 60 turns, replace any dead harvs to maintain THREE harvs alive AND deliver economy value $1800, keeping the refinery. Building a replacement harv costs $1400 and requires the war factory.","economy_value ≥$1800 AND ≥3 harvs AND proc, within 5400 ticks.","No harv, no proc, or deadline (5401 ticks).","60","5403","1100","3 starter harvs + Mammoth in-base; weap @(12,22) is pre-placed so harv replacements ($1400) are queueable","Stall → Mammoth kills harvs → harv-count clause fails → LOSS. No tank engagement → replacements out-paced by losses → LOSS."
"econ-replace-dead-harvester","medium","reasoning","econ-replace-dead-harvester-64x40","64x40","fit","observe, build, place_building, harvest, move_units, stop","Same as easy: fact + proc + tent + weap + 3× harv + 2× heavy tank Defend; $1100","1× Mammoth + anti-DRAW fact @(60,34)","hunter (Mammoth 4tnk in-base raider attacks harvs)","","Commander, this is a harvester-replacement drill with a higher cash bar. You hold a Construction Yard (fact), Ore Refinery (proc), Allied Barracks (tent), three harvesters (harv, unarmed ore trucks), and two heavy tanks (3tnk) on Defend orders, with $1100 cash. A Mammoth tank (4tnk) is already inside your base at (18,22) and will kill harvesters. Within about 60 turns, maintain THREE harvs alive AND deliver economy value $2500.","economy_value ≥$2500 AND ≥3 harvs AND proc, within 5400 ticks.","No harv, no proc, or deadline (5401 ticks).","60","5403","1100","Same setup; tighter $2500 bar","Stall → harvs die → LOSS. Failure to neutralise Mammoth → cascading harv losses → LOSS."
"econ-replace-dead-harvester","hard","reasoning","econ-replace-dead-harvester-64x40","64x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=26): fact + proc + tent + weap + 3× harv + 4× heavy tank; $3300","2× Mammoth in-base + 1× Mammoth mid-map @(60,20) + anti-DRAW fact @(60,34)","hunter (Mammoth 4tnk in-base raider attacks harvs)","","Commander, this is a harvester-replacement drill with seed-rotated base latitude and a heavier threat. You hold a Construction Yard, Ore Refinery, Allied Barracks, three harvesters, and four heavy tanks (3tnk) on Defend orders at NORTH (y=14) or SOUTH (y=26), with $3300 cash. TWO Mammoth tanks (4tnk) are already in your base plus a third at mid-map (60,20). Within about 60 turns, deliver economy value $3500 with three harvs alive by tick 3600, keeping the refinery.","economy_value ≥$3500 AND ≥3 harvs by tick 3600 AND proc, within 5400 ticks.","No harv, no proc, or deadline (5401 ticks).","60","5403","3300","3 harvs + 4× 3tnk + $3300; multi-Mammoth raid; replacements via weap (not present — must rely on combat-kill first)","Stall → Mammoths kill all harvs → LOSS. Failure to focus-fire Mammoths → cascading losses → LOSS."
