pack,level,classification,leak_phrases,rewrite_suggestion
econ-recover-from-zero-cash,medium,HEAVY,"""when you reach $2000, build a War Factory (weap) adjacent to the yard; when you reach $1400, queue a second harvester and send it to the patch.""","Full rewrite: drop the explicit conditional build sequence."
econ-recover-from-zero-cash,hard,HEAVY,"""Run the starting harvester on a near patch; once you have $2000, build a War Factory (weap) adjacent to the yard; then queue a second and third harvester""","Full rewrite: drop the explicit step-by-step build chain."
econ-replace-dead-harvester,easy,HEAVY,"""Build the replacement from the war factory and re-issue harvest to every worker — the death event interrupts their cycles.""","Full rewrite: drop the explicit ""build replacement"" + ""re-issue harvest after death"" instructions."
econ-replace-dead-harvester,medium,HEAVY,"""Build the replacement from the war factory and re-issue harvest to every worker — the death event interrupts their cycles, and a missed re-issue costs throughput you cannot recover.""","Full rewrite: same as easy + drop the warning about ""missed re-issue""."
econ-replace-dead-harvester,hard,HEAVY,"""Replace BOTH dead workers from the war factory and re-issue harvest after each death.""","Full rewrite: same."
econ-resource-trade-with-self,easy,HEAVY,"""Pure harvesting plateaus around $4500; sell the idle War Factory and redeploy the freed cash into a second Refinery near a patch to double income.""","Full rewrite: drop the policy arithmetic AND the explicit ""sell war factory, build second refinery"" instruction."
econ-resource-trade-with-self,medium,HEAVY,"""Pure harvesting plateaus around $6000; sell the idle War Factory and reinvest the freed cash into a second Refinery near the other patch to double income.""","Full rewrite: same as easy."
econ-resource-trade-with-self,hard,HEAVY,"""Sell the idle War Factory and reinvest into a second Refinery near YOUR live yard — a memorised placement misses on the flip.""","Full rewrite: drop the explicit ""sell + reinvest"" instruction + the ""memorised"" meta-hint."
econ-second-base-race,easy,HEAVY,"""Build an Ore Refinery ('ore refinery', cost 1400) and place it INSIDE the contested target zone — a disk of radius 6 around (88, 30). `place_building` auto-spawns a fresh harvester adjacent to the new refinery, which lands on the patch and starts cycling immediately. ... Placing the ore refinery at your home base still makes some income off the near patch but FAILS the spatial clause""","Full rewrite: drop the entire step-by-step ""build refinery, place it in target zone"" instruction AND the negative-policy on home placement. The spatial clause already enforces this."
econ-second-base-race,medium,MEDIUM,"""The spatial requirement is unchanged: place the 2nd Ore Refinery INSIDE the disk of radius 6 around (88, 30). Stalling, home-placement, and anywhere-else placement all lose.""","Drop the negative-policy comparisons; the win predicate states the spatial requirement."
econ-second-base-race,hard,HEAVY,"""Build an Ore Refinery, place it INSIDE the disk of radius 6 around your latitude's contested patch (centre (88, 30) for an NW spawn; (88, 8) for an SW spawn). The `place_building` auto-spawn lands a harvester on the patch and starts cycling immediately. ... Stalling, home-placement, and wrong-diagonal placement all lose.""","Full rewrite: drop the explicit ""build + place inside disk"" instruction + per-policy outcomes."
econ-silo-vs-spend,easy,MEDIUM,"""Pure observe leaves cash but no silo, no kills, no pillboxes — the any_of never latches.""","Drop the negative-policy explanation of how stall fails."
econ-silo-vs-spend,medium,MEDIUM,"""Idling lets income spoil and never latches the any_of.""","Drop the negative-policy stall outcome."
econ-silo-vs-spend,hard,CLEAN,"","No leak — just states the any-of options and the cash bar."
econ-startup-from-scratch,easy,HEAVY,"""Deploy the MCV to create a yard, build a power plant ($300) adjacent, then a refinery ($1400) adjacent — the refinery comes with a free harvester. Move the harvester onto the nearby patch and harvest.""","Full rewrite: drop the entire step-by-step build chain."
econ-startup-from-scratch,medium,HEAVY,"""Same chain — deploy, power, refinery (free harvester), commit to the patch""","Full rewrite: drop the build chain prescription."
econ-startup-from-scratch,hard,HEAVY,"""Deploy in place, build power, build refinery, send the free harvester to the LOCAL patch.""","Full rewrite: drop the build chain prescription."
econ-target-cash-amount-by-deadline,easy,HEAVY,"""The pre-placed harvester auto-harvests on its own, so a stall play passively reaches the cash bar — the 2-harvester requirement forces an explicit harv build (cost $1400 from the war factory). Spamming rifles drains every credit and never funds the 2nd harv. Build the 2nd harvester as soon as cash allows""","Full rewrite: drop the per-policy outcomes AND the explicit ""build 2nd harvester ASAP"" instruction."
econ-target-cash-amount-by-deadline,medium,HEAVY,"""the 2-harv requirement forces an explicit harv build. Build the 2nd harvester early ($1400 from the war factory) so the doubled income covers the capex""","Full rewrite: drop the explicit ""build 2nd harvester early"" instruction + rationale."
econ-target-cash-amount-by-deadline,hard,HEAVY,"""Build the 2nd harvester immediately and the doubled income clears the cash bar""","Full rewrite: drop the explicit ""build 2nd harvester immediately"" instruction."
econ-tech-vs-expand-decision,easy,HEAVY,"""One harvester plateaus near 6000; only the early expand clears the bar.""","Full rewrite: drop the per-policy arithmetic and the explicit ""early expand"" answer."
econ-tech-vs-expand-decision,medium,HEAVY,"""A single harvester tops out near 7500; sinking the budget into a second war factory adds no income. An early second-harvester buy compounds past the bar.""","Full rewrite: drop the per-policy arithmetic AND the explicit ""early second-harvester"" answer + negative-policy."
econ-tech-vs-expand-decision,hard,HEAVY,"""The single-harvester baseline and the tech-drained economy both miss by a wide margin; an early second-harvester compounds past it on either spawn.""","Full rewrite: same — drop per-policy outcomes + explicit answer."
economy-force-buildup,easy,HEAVY,"""stand up a second Power Plant AND train at least four anti-vehicle rocket soldiers ('e3' — 300cr each, longer-ranged than rifles). Spamming the cheap rifle ('e1', 100cr) clears neither bar.""","Full rewrite: drop the explicit ""stand up power plant + train 4 e3"" instruction AND the negative-policy on rifles."
economy-force-buildup,medium,HEAVY,"""Stand up a second Power Plant AND train at least five anti-vehicle rocket soldiers ('e3' — 300cr each). The budget covers exactly this one coherent build — cheap-rifle spam clears neither bar""","Full rewrite: same as easy."
economy-force-buildup,hard,HEAVY,"""Build and place a second Power Plant AND train at least six anti-vehicle rocket soldiers ('e3' — 300cr each) without losing a single one. ... cheap-rifle spam or any over-spend fails the clock""","Full rewrite: same."
economy-harvest-investment,easy,HEAVY,"""Stall alone (one pre-placed harv auto-harvesting) clears only ~11100 — under the bar. The DEEP commit (a second harvester auto-routing to the near patch) doubles throughput and clears the bar comfortably.""","Full rewrite: drop the per-policy arithmetic and the explicit ""DEEP commit (a second harvester)"" answer."
economy-harvest-investment,medium,HEAVY,"""Only the highest-yield reinvestment — a second harvester on the NEAR patch (DEEP) — clears it. Far-patch (GEOGRAPHIC) or hedged plays lose 3-7 turns of double-income and the deadline bites.""","Full rewrite: drop the explicit ""second harvester on near patch"" answer + per-policy outcomes."
economy-harvest-investment,hard,HEAVY,"""DEEP throughput is symmetric on both spawns; a memorised opening fails because the new harvester spawns in a different cell.""","Full rewrite: drop the ""DEEP throughput"" hint."
economy-harvest-timebox,easy,CLEAN,"","Pure situation report — forces, bar, deadline."
economy-harvest-timebox,medium,CLEAN,"","Pure situation report."
economy-harvest-timebox,hard,CLEAN,"","Pure situation report (just adds ""Locate your patches relative to your base"" which is borderline but factually informative)."
economy-investment,easy,HEAVY,"""That budget is precisely the cost of one Ore Refinery ($1400) plus one supporting Power Plant ($300). Build and place both — a second refinery and a second power plant. Any credit spent on units leaves too little to finish both structures before the clock""","Full rewrite: drop the explicit ""build refinery + power plant"" instruction + the negative-policy on units."
economy-investment,medium,HEAVY,"""Build the second refinery and the second power plant, AND train three units. A fourth unit or any diversion overspends and the second refinery never completes inside the clock""","Full rewrite: drop the explicit build composition + negative-policy."
economy-investment,hard,HEAVY,"""Keep the single refinery and field 22 rifle infantry ('e1' — 100cr each, 22 × 100 = $2200). Building a second refinery or a second power plant drains the credits the army needs""","Full rewrite: drop the explicit ""field 22 e1"" composition + negative-policy."
economy-time-box,easy,HEAVY,"""Idle cash is wasted; spending it all on units leaves only 3 buildings; spending it all on buildings leaves 0 units. The clock bites — sit on the budget and you LOSE.""","Full rewrite: drop the per-policy outcomes."
economy-time-box,medium,HEAVY,"""The budget covers exactly this mix; idling or spending it on a single line LOSES. Start the build chain early — serial build times eat the clock.""","Full rewrite: drop the per-policy outcome AND the ""start early"" timing instruction."
economy-time-box,hard,HEAVY,"""The budget covers a coherent serial build chain — every credit and every tick must convert into deployed structure or fielded unit. Spam, overspend, or any battlefield casualty LOSES.""","Full rewrite: drop the meta-strategy hint (""coherent serial build chain"") and per-policy outcomes."
