"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","starting_cash","tech_chain","build_time_check","leak_flag","production_audit_issue"
"build-tech-skip-decision","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, attack_move, stop","fact + tent flip NORTH (y=14) or SOUTH (y=26) by seed + inert HoldFire e1 spawn-witness per group; $6000","7× rifle infantry duplicated at both latitudes (52,14) AND (52,26) Attack-Anything; sentinel","enemy e1 st3 duplicated both latitudes","","Commander, this is a right-sizing decision drill with seed-rotated staging. Construction Yard + Barracks at NORTH (y=14) or SOUTH (y=26) by seed. $6000. Seven-rifle garrisons at BOTH latitudes — only the on-latitude band converges in time. Kill six enemies AND keep the Construction Yard, within about 15 turns.","≥6 enemies killed AND Construction Yard standing, within 1400 ticks.","Construction Yard destroyed, or deadline (1401 ticks).","30","2703","6000","e1 swarm","ok","clean",""
"building-and-planning","easy","reasoning","rush-hour-arena","128x40","large-trivial","build, place_building, move_units, stop","Construction Yard @(10,18); $6000","static e1 @(78,20) st2 + sentinel fact @(112,20)","enemy e1 inert at x=78 — no real pressure","","Commander, this is a build-order drill. Your base has ONE Construction Yard at (10,18) and $6000. No Power Plant, no Barracks. Win: own a Barracks (which the engine requires Power for) AND own at least three buildings total, within about 27 turns. A power-less Barracks queue never completes; spamming Power Plants never yields a Barracks.","Total buildings ≥ 3 AND own a Barracks, within 2400 ticks.","Deadline (2400 ticks).","30","2703","6000","powr → tent (Barracks)","ok (powr 6s + tent 10s = 16s ≤ 27t)","clean",""
"building-and-planning","medium","reasoning","rush-hour-arena","128x40","large-trivial","build, place_building, move_units, stop","Same — fact @(10,18); $5000","static e1 @(78,20) + sentinel","enemy e1 inert","","Commander, this is a build-order drill with a spatial axis. Construction Yard at (10,18), $5000. Build a defensive line in the EAST: place at least two Pillboxes (which require Barracks, which requires Power) inside a radius-9 disc of (40,20). About 38 turns.","≥2 Pillboxes within radius 9 of (40,20), within 3400 ticks.","Deadline (3400 ticks).","40","3603","5000","powr → tent → pbox×2 at distant region","ok (powr 6s + tent 10s + 2×pbox 16s = 32s ≤ 38t; build radius creep adds ~3 turns)","clean",""
"building-and-planning","hard","reasoning","rush-hour-arena","128x40","large-trivial","build, place_building, move_units, stop","Same — fact @(10,18); $6000","static e1 @(78,20) + sentinel","enemy e1 inert","","Commander, this is a build-order drill testing base relocation. Construction Yard at (10,18), $6000. Found the defensive line FAR east near (60,20) — well beyond the Construction Yard's initial build radius. Each new building extends where you may build next. Place at least two Pillboxes inside radius 10 of (60,20), within about 64 turns.","≥2 Pillboxes within radius 10 of (60,20), within 5800 ticks.","Deadline (5800 ticks).","70","6303","6000","powr×chain → tent → pbox×2 at FAR region (creep via chained powr)","ok (~5 powr to creep + tent + 2×pbox ≈ 60s, fits 64t)","clean",""
"tech-aggro-all-in","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, stop","Soviet — fact @(10,18) + barr @(14,22) + powr @(10,26); $5500","sentinel Construction Yard @(110,20)","no enemy combat","","Commander, this is an all-in tech rush. You command Soviet forces. Pre-placed: Construction Yard, Barracks, Power Plant. $5500 cash. Win: own a War Factory AND a Tesla Coil within about 50 turns. Tech-chain prerequisites: War Factory requires a Refinery (which the Power Plant enables). Tesla Coil requires a War Factory.","Own War Factory AND Tesla Coil, within 4500 ticks.","Construction Yard destroyed, or deadline (4501 ticks).","50","4503","5500","proc → weap → tsla (Soviet)","build-time-over-budget:82s>50t — flagged; intended chain measured ~tick 2973 (33t)","clean","build-time-over-budget:82s>50t"
"tech-aggro-all-in","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, stop","Same Soviet base — fact + barr + powr; $4800","sentinel","no enemy combat","","Commander, this is an all-in tech rush on a tight clock. Soviet base — Construction Yard, Barracks, Power Plant. $4800 (covers Refinery + War Factory + Tesla Coil with $200 slack). Own War Factory AND Tesla Coil within about 40 turns. Detours overrun.","Own War Factory AND Tesla Coil, within 3600 ticks.","Construction Yard destroyed, or deadline (3601 ticks).","40","3603","4800","proc → weap → tsla","build-time-over-budget:82s>40t — flagged; intended chain ~33t fits","clean","build-time-over-budget:82s>50t"
"tech-aggro-all-in","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, stop","Soviet base flips NORTH (y=10) or SOUTH (y=30) by seed + spawn-witness e1 per group; $4800","sentinel","no enemy combat","","Commander, this is an all-in tech rush under the tightest clock. Soviet base — Construction Yard, Barracks, Power Plant — at NORTH (y=10) or SOUTH (y=30) by seed. $4800. Hard cap of 6 total buildings forbids any extra structure. Own War Factory AND Tesla Coil with at most 6 buildings total, within about 37 turns.","Own War Factory AND Tesla Coil AND ≤6 total buildings, within 3300 ticks.","Construction Yard destroyed, or deadline (3301 ticks).","37","3333","4800","proc → weap → tsla (cap-locked)","build-time-over-budget:82s>37t — tight; intended chain ~33t at full speed","clean","build-time-over-budget:82s>50t"
"tech-balanced-econ-then-tech","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, stop","fact @(10,18) + tent @(10,22) + powr @(14,18) + harv @(14,22) + ore patch @(22,20); $2800","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a balanced macro-tech drill. Allied base — Construction Yard, Barracks, Power Plant, Ore Truck on an ore patch. $2800 cash. Win: build a Refinery, push your economy value to at least 800, then build a War Factory, then build a Radar Dome — IN THAT ORDER. About 90 turns. Skipping the Refinery is engine-blocked (War Factory and Radar Dome both require the Refinery as prereq).","then-latch: Refinery → economy_value ≥ 800 → War Factory → Radar Dome, within 8100 ticks.","Construction Yard destroyed, or deadline (8101 ticks).","90","8103","2800","proc → income 800 → weap → dome","ok (proc 28s + weap 40s + dome 56s = 124s; 90t budget, parallel Building queue means weap and dome serial = OK)","clean","tight-cash:need=4400,have=2800"
"tech-balanced-econ-then-tech","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, stop","Same base — fact + tent + powr + harv + ore; $2800","sentinel","no enemy combat","","Commander, this is a balanced macro-tech drill with a tighter economy bar. Allied base + $2800. Build a Refinery, push your economy value to at least 1500, then a War Factory, then a Radar Dome — in order. About 70 turns.","then-latch: Refinery → economy_value ≥ 1500 → War Factory → Radar Dome, within 6300 ticks.","Construction Yard destroyed, or deadline (6301 ticks).","70","6303","2800","proc → income 1500 → weap → dome","ok (124s ≤ 70t; intended income window ~7 turns post-proc fits)","clean","tight-cash:need=4400,have=2800"
"tech-balanced-econ-then-tech","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, stop","Full base flips NORTH (y=10) or SOUTH (y=30) by seed + ore patches duplicated at both latitudes; $2800","sentinel","no enemy combat","","Commander, this is a balanced macro-tech drill with seed-rotated staging. Allied base — Construction Yard, Barracks, Power Plant, Ore Truck — at NORTH (y=10) or SOUTH (y=30) by seed. $2800. Build a Refinery, push economy value to 2200, then War Factory, then Radar Dome. About 60 turns.","then-latch: Refinery → economy_value ≥ 2200 → War Factory → Radar Dome, within 5400 ticks.","Construction Yard destroyed, or deadline (5401 ticks).","60","5403","2800","proc → income 2200 → weap → dome","ok (124s ≤ 60t requires parallelism; income window ~9 turns post-proc fits)","clean","tight-cash:need=4400,have=2800"
"tech-production-planning","easy","reasoning","rush-hour-arena","128x40","large-trivial","build, place_building, train, cancel_production, move_units, deploy, stop, set_rally_point","Soviet — fact @(10,18) + powr @(14,18) + proc @(16,22) + ore patch @(20,24); $5000","inert enemy e1 @(114,34) st2 (far-east static)","inert e1; no real combat","","Commander, this is a sequential dependency drill. You command Soviet forces. Pre-placed: Construction Yard, Power Plant, Refinery, ore patch. $5000. Build a War Factory, then a Service Depot, then train one Heavy Tank — in that order. The Heavy Tank requires both War Factory and Service Depot as engine prerequisites. About 60 turns.","≥1 Heavy Tank AND Service Depot stands, within 5403 ticks.","Deadline (5403 ticks).","60","5403","5000","weap → fix → 3tnk (Soviet)","build-time-over-budget:72s>60t — flagged; engine measured ~tick 2883 (32t) intended","clean","build-time-over-budget:72s>60t; hard-adds-bldgs:barr"
"tech-production-planning","medium","reasoning","rush-hour-arena","128x40","large-trivial","build, place_building, train, cancel_production, move_units, deploy, stop, set_rally_point","Soviet — fact + powr + ore patch only (no proc); $6500","inert e1 @(114,34) st2","inert e1","","Commander, this is a parallel-branch dependency drill. Soviet base: Construction Yard, Power Plant, ore patch — no Refinery yet. $6500. Produce ONE Heavy Tank PLUS one Rocket Soldier PLUS three Rifle Infantry, with power surplus non-negative at the deadline. The combined build drains the grid below zero against a single Power Plant — a second one is mandatory. Infantry (Barracks) branch must run IN PARALLEL with the Vehicle (War Factory + Service Depot) branch — serial production busts the clock. About 80 turns.","≥1 Heavy Tank AND ≥1 Rocket Soldier AND ≥3 Rifle Infantry AND power_surplus ≥ 0, within 7203 ticks.","Deadline (7203 ticks).","80","7203","6500","proc → weap → fix → 3tnk + 2nd powr + barr → e3 + e1×3","build-time-over-budget:~140s>80t serial; parallel Infantry+Vehicle queues halve it","clean","build-time-over-budget:72s>60t; hard-adds-bldgs:barr"
"tech-production-planning","hard","reasoning","rush-hour-arena","128x40","large-trivial","build, place_building, train, cancel_production, move_units, deploy, stop, set_rally_point","Soviet mid-game — fact + powr + proc + barr + 3× e1 @(8,16) + ore patch; $3000","3× Heavy Tank @(110,34) st2 in eastern fog (passive)","enemy 3tnk×3 st2 in fog — passive defenders (briefing says ""passive"")","","Commander, this is an adaptive tech-transition drill. Soviet mid-game start: Construction Yard, Power Plant, Refinery, Barracks, three Rifle Infantry, ore patch — an INFANTRY plan is already committed. $3000. Three enemy Heavy Tanks sit passive in the eastern fog. Scout the threat, recognise that infantry cannot trade with armour, pivot to FIVE Rocket Soldiers. About 90 turns. Overproducing infantry past 10 exhausts the budget and fails.","≥2 enemies discovered AND ≥5 Rocket Soldiers, within 8103 ticks.","≥10 Rifle Infantry built, or deadline (8103 ticks).","90","8103","3000","scout + e3×5 (pivot from infantry plan)","ok (e3 8s × 5 = 40s + scout time; 90t budget)","clean","build-time-over-budget:72s>60t; hard-adds-bldgs:barr"
"tech-turtle-defensive-tech","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Allied base — fact @(10,20) + tent @(8,18) + 2× powr @(6,20)/(6,22) + proc @(6,16) + harv @(8,22) + ore patch @(2,20) + 3× rifle defenders @(16,20) st2; $3000","4× rifle infantry @(95,20) on Attack-Anything (hunt bot); sentinel fact @(120,20)","enemy hunt bot st3; matches briefing","","Commander, this is a fortify-then-tech drill. Allied base — Construction Yard, Barracks, two Power Plants, Refinery, Ore Truck on an ore patch, three Rifle Infantry on Defend stance at the east lane mouth. $3000 cash. A four-rifle hunt band is closing from mid-map. Build the defence line FIRST, then tech: (1) at least three Pillboxes, (2) at least one gun turret (which needs the War Factory as prereq), (3) own a War Factory, (4) own a Radar Dome — in order. Keep Construction Yard alive, at least 1 unit alive. About 80 turns.","then-latch: pbox×3 → gun×1 → War Factory → Radar Dome, AND yard alive, AND ≥1 unit, within 7200 ticks.","Construction Yard destroyed, or deadline (7201 ticks).","90","8103","3000","pbox×3 → gun → weap → dome (defense + tech queues parallel)","ok (defense queue: 3×8s + 14s = 38s; building queue: 40s+56s = 96s; parallel fits 90t)","clean","tight-cash:need=5400,have=3000; build-time-over-budget:98s>90t"
"tech-turtle-defensive-tech","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Same Allied base + 6× e1 / 2× e3 screen at the lane mouth; $3000","4× rifle + 1× rocket infantry hunt band @(105/107, 20) st3; sentinel","enemy hunt bot st3","","Commander, this is a fortify-then-tech drill at heavier weight. Same Allied base layout plus a screen of six rifles and two rocket soldiers at the east lane mouth. $3000. A heavier hunt band — four rifles plus a rocket soldier — closes from the far east. Build three Pillboxes, then a gun turret (needs War Factory), War Factory, Radar Dome — in order. Lose at most six own units. About 80 turns.","then-latch: pbox×3 → gun → War Factory → Radar Dome, yard alive, ≥1 unit, ≤6 lost, within 7200 ticks.","Construction Yard destroyed, >6 lost, or deadline (7201 ticks).","80","7203","3000","pbox×3 → gun → weap → dome","ok (parallel queues fit 80t)","clean","tight-cash:need=5400,have=3000; build-time-over-budget:98s>90t"
"tech-turtle-defensive-tech","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Full Allied base flips NORTH (y=14) or SOUTH (y=26) by seed; screen + tent + powr×3 + proc + harv + ore duplicated per group; $3000","TWO hunt bands @(100,10) AND @(100,30) st3 (4× e1 + 1× e3 each); sentinel","enemy hunt bot st3 both latitudes","","Commander, this is a fortify-then-tech drill with seed-rotated staging and two simultaneous hunt bands. Allied base — Construction Yard, Barracks, three Power Plants, Refinery, Ore Truck, six-rifle + two-rocket screen — at NORTH (y=14) or SOUTH (y=26) by seed. Two hunt bands hit from BOTH latitudes (north and south). $3000. Build at least EIGHT Pillboxes (enough to cover both lanes), one gun turret (needs War Factory), War Factory, Radar Dome — in order. Lose at most six own units. About 80 turns.","then-latch: pbox×8 → gun → War Factory → Radar Dome, yard alive, ≥1 unit, ≤6 lost, within 7200 ticks.","Construction Yard destroyed, >6 lost, or deadline (7201 ticks).","80","7203","3000","pbox×8 → gun → weap → dome (heavy defense queue)","build-time-over-budget:8×8s+14s+40s+56s=174s>80t serial; defense-vs-building queues parallel — defense path 78s, building path 96s — fit 80t with overlap","clean","tight-cash:need=5400,have=3000; build-time-over-budget:98s>90t"
"power-budget-online","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","fact @(12,20) + powr @(16,20) + tent @(12,24) + dome @(16,24) + pbox @(20,24) — provided 100 / drained 80 / surplus +20; $8200","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a power-budget bring-up drill. Your base — Construction Yard, ONE Power Plant (+100 power), Barracks (−20), Radar Dome (−40), Pillbox (−20) — runs at provided 100, drained 80, net surplus +20 (just enough headroom). $8200. Expand production: build a Refinery (−30), War Factory (−30), Service Depot (−30, required for tanks), and field three Medium Tanks. Each new production building takes another 30 of load — building the Refinery on the single Power Plant alone drives the grid NEGATIVE and the engine throttles ALL production to 50% speed. Bring more Power Plants online ahead of demand. Win: gross provided power ≥ 200, own a Refinery and War Factory, ≥3 Medium Tanks, before tick 6300 (about 70 turns).","Provided ≥ 200 AND Refinery AND War Factory AND ≥3 Medium Tanks, within 6300 ticks.","Construction Yard destroyed, or deadline (6301 ticks).","71","6393","8200","powr (extra) → proc → weap → fix → 2tnk×3","build-time-over-budget:98s>71t — flagged; engine measures intended ~tick 5050 (56t) fits","clean","build-time-over-budget:98s>71t"
"power-budget-online","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","Same starting base — fact + powr + tent + dome + pbox (surplus +20); $8500","sentinel","no enemy combat","","Commander, this is a power-budget bring-up drill with a bigger generation requirement. Same starting base. $8500. Expand to Refinery, War Factory, Service Depot, three Medium Tanks — AND bring gross provided power to at least 300 (two additional Power Plants). Bring them online ahead of each new production building. About 67 turns.","Provided ≥ 300 AND Refinery AND War Factory AND ≥3 Medium Tanks, within 6000 ticks.","Construction Yard destroyed, or deadline (6001 ticks).","67","6033","8500","powr×2 → proc → weap → fix → 2tnk×3","build-time-over-budget:104s>67t — flagged; intended ~tick 5320 (~59t) fits","clean","build-time-over-budget:98s>71t"
"power-budget-online","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","Same 5-building standing base flips NORTH (y=12) or SOUTH (y=28) by seed + inert HoldFire e1 spawn-witness per group; $8500","sentinel","no enemy combat","","Commander, this is a power-budget bring-up drill with seed-rotated staging. Standing base — Construction Yard, Power Plant, Barracks, Radar Dome, Pillbox — at NORTH (y≈12) or SOUTH (y≈28). $8500. Same expansion task: Refinery, War Factory, Service Depot, three Medium Tanks, gross provided power ≥ 300. Bring the two extra Power Plants online ahead of demand. About 67 turns.","Provided ≥ 300 AND Refinery AND War Factory AND ≥3 Medium Tanks, within 6000 ticks.","Construction Yard destroyed, or deadline (6001 ticks).","67","6033","8500","powr×2 → proc → weap → fix → 2tnk×3","build-time-over-budget:104s>67t — flagged; intended fits","clean","build-time-over-budget:98s>71t"
